platform,mode,operation,payload_bytes,run,ops,total_ms,ms_per_op,throughput_mib_s
ubuntu-linux,ecb,encrypt,1024,1,100,0.151451,0.001514510,644.804260
ubuntu-linux,ecb,encrypt,1024,2,100,0.152022,0.001520220,642.382353
ubuntu-linux,ecb,encrypt,1024,3,100,0.143847,0.001438470,678.889723
ubuntu-linux,ecb,encrypt,1024,4,100,0.156381,0.001563810,624.476439
ubuntu-linux,ecb,encrypt,1024,5,100,0.146432,0.001464320,666.905116
ubuntu-linux,ecb,encrypt,1024,6,100,0.146202,0.001462020,667.954269
ubuntu-linux,ecb,encrypt,1024,7,100,0.144839,0.001448390,674.240018
ubuntu-linux,ecb,encrypt,1024,8,100,0.152393,0.001523930,640.818476
ubuntu-linux,ecb,encrypt,1024,9,100,0.151461,0.001514610,644.761688
ubuntu-linux,ecb,encrypt,1024,10,100,0.147725,0.001477250,661.067863
ubuntu-linux,ecb,encrypt,1024,11,100,0.145941,0.001459410,669.148834
ubuntu-linux,ecb,encrypt,1024,12,100,0.168543,0.001685430,579.414452
ubuntu-linux,ecb,encrypt,1024,13,100,0.209569,0.002095690,465.986143
ubuntu-linux,ecb,encrypt,1024,14,100,0.155439,0.001554390,628.260926
ubuntu-linux,ecb,encrypt,1024,15,100,0.144628,0.001446280,675.223677
ubuntu-linux,ecb,encrypt,1024,16,100,0.144479,0.001444790,675.920030
ubuntu-linux,ecb,encrypt,1024,17,100,0.145089,0.001450890,673.078249
ubuntu-linux,ecb,encrypt,1024,18,100,0.145591,0.001455910,670.757464
ubuntu-linux,ecb,encrypt,1024,19,100,0.143998,0.001439980,678.177822
ubuntu-linux,ecb,encrypt,1024,20,100,0.143406,0.001434060,680.977435
ubuntu-linux,ecb,encrypt,1024,21,100,0.150118,0.001501180,650.529916
ubuntu-linux,ecb,encrypt,1024,22,100,0.144658,0.001446580,675.083646
ubuntu-linux,ecb,encrypt,1024,23,100,0.145460,0.001454600,671.361543
ubuntu-linux,ecb,encrypt,1024,24,100,0.145410,0.001454100,671.592394
ubuntu-linux,ecb,encrypt,1024,25,100,0.144789,0.001447890,674.472854
ubuntu-linux,ecb,encrypt,1024,26,100,0.145600,0.001456000,670.716003
ubuntu-linux,ecb,encrypt,1024,27,100,0.151631,0.001516310,644.038818
ubuntu-linux,ecb,encrypt,1024,28,100,0.145560,0.001455600,670.900316
ubuntu-linux,ecb,encrypt,1024,29,100,0.146792,0.001467920,665.269565
ubuntu-linux,ecb,encrypt,1024,30,100,0.198098,0.001980980,492.969389
ubuntu-linux,ecb,decrypt,1024,1,100,0.144388,0.001443880,676.346026
ubuntu-linux,ecb,decrypt,1024,2,100,0.146603,0.001466030,666.127228
ubuntu-linux,ecb,decrypt,1024,3,100,0.150159,0.001501590,650.352293
ubuntu-linux,ecb,decrypt,1024,4,100,0.145701,0.001457010,670.251062
ubuntu-linux,ecb,decrypt,1024,5,100,0.145090,0.001450900,673.073609
ubuntu-linux,ecb,decrypt,1024,6,100,0.144899,0.001448990,673.960828
ubuntu-linux,ecb,decrypt,1024,7,100,0.144799,0.001447990,674.426274
ubuntu-linux,ecb,decrypt,1024,8,100,0.145019,0.001450190,673.403140
ubuntu-linux,ecb,decrypt,1024,9,100,0.144679,0.001446790,674.985658
ubuntu-linux,ecb,decrypt,1024,10,100,0.152003,0.001520030,642.462649
ubuntu-linux,ecb,decrypt,1024,11,100,0.145841,0.001458410,669.607655
ubuntu-linux,ecb,decrypt,1024,12,100,0.145119,0.001451190,672.939105
ubuntu-linux,ecb,decrypt,1024,13,100,0.145060,0.001450600,673.212808
ubuntu-linux,ecb,decrypt,1024,14,100,0.145079,0.001450790,673.124642
ubuntu-linux,ecb,decrypt,1024,15,100,0.145009,0.001450090,673.449579
ubuntu-linux,ecb,decrypt,1024,16,100,0.144728,0.001447280,674.757131
ubuntu-linux,ecb,decrypt,1024,17,100,0.149989,0.001499890,651.089413
ubuntu-linux,ecb,decrypt,1024,18,100,0.145019,0.001450190,673.403140
ubuntu-linux,ecb,decrypt,1024,19,100,0.144819,0.001448190,674.333133
ubuntu-linux,ecb,decrypt,1024,20,100,0.144689,0.001446890,674.939007
ubuntu-linux,ecb,decrypt,1024,21,100,0.145380,0.001453800,671.730981
ubuntu-linux,ecb,decrypt,1024,22,100,0.145200,0.001452000,672.563705
