platform,mode,operation,payload_bytes,run,ops,total_ms,ms_per_op,throughput_mib_s
ubuntu-linux,cbc,encrypt,1024,1,10,0.025888,0.002588800,377.225935
ubuntu-linux,cbc,encrypt,1024,2,10,0.028303,0.002830300,345.038512
ubuntu-linux,cbc,encrypt,1024,3,10,0.026239,0.002623900,372.179771
ubuntu-linux,cbc,decrypt,1024,1,10,0.021640,0.002164000,451.276571
ubuntu-linux,cbc,decrypt,1024,2,10,0.022632,0.002263200,431.496333
ubuntu-linux,cbc,decrypt,1024,3,10,0.021931,0.002193100,445.288633
ubuntu-linux,cbc,encrypt,4096,1,10,0.090368,0.009036800,432.260313
ubuntu-linux,cbc,encrypt,4096,2,10,0.091580,0.009158000,426.539637
ubuntu-linux,cbc,encrypt,4096,3,10,0.090618,0.009061800,431.067779
ubuntu-linux,cbc,decrypt,4096,1,10,0.054822,0.005482200,712.533290
ubuntu-linux,cbc,decrypt,4096,2,10,0.047258,0.004725800,826.579627
ubuntu-linux,cbc,decrypt,4096,3,10,0.044673,0.004467300,874.409599
ubuntu-linux,ctr,encrypt,1024,1,10,0.020007,0.002000700,488.110411
ubuntu-linux,ctr,encrypt,1024,2,10,0.021329,0.002132900,457.856674
ubuntu-linux,ctr,encrypt,1024,3,10,0.019857,0.001985700,491.797603
ubuntu-linux,ctr,decrypt,1024,1,10,0.021520,0.002152000,453.792983
ubuntu-linux,ctr,decrypt,1024,2,10,0.021961,0.002196100,444.680342
ubuntu-linux,ctr,decrypt,1024,3,10,0.021640,0.002164000,451.276571
ubuntu-linux,ctr,encrypt,4096,1,10,0.038572,0.003857200,1012.716478
ubuntu-linux,ctr,encrypt,4096,2,10,0.039233,0.003923300,995.654169
ubuntu-linux,ctr,encrypt,4096,3,10,0.038702,0.003870200,1009.314764
ubuntu-linux,ctr,decrypt,4096,1,10,0.041437,0.004143700,942.696141
ubuntu-linux,ctr,decrypt,4096,2,10,0.042459,0.004245900,920.005181
ubuntu-linux,ctr,decrypt,4096,3,10,0.041487,0.004148700,941.560007
ubuntu-linux,gcm,encrypt,1024,1,10,0.021550,0.002155000,453.161253
ubuntu-linux,gcm,encrypt,1024,2,10,0.022612,0.002261200,431.877985
ubuntu-linux,gcm,encrypt,1024,3,10,0.021981,0.002198100,444.275738
ubuntu-linux,gcm,decrypt,1024,1,10,0.029264,0.002926400,333.707798
ubuntu-linux,gcm,decrypt,1024,2,10,0.029414,0.002941400,332.006018
ubuntu-linux,gcm,decrypt,1024,3,10,0.029054,0.002905400,336.119811
ubuntu-linux,gcm,encrypt,4096,1,10,0.069339,0.006933900,563.355399
ubuntu-linux,gcm,encrypt,4096,2,10,0.074108,0.007410800,527.102337
ubuntu-linux,gcm,encrypt,4096,3,10,0.069960,0.006996000,558.354774
ubuntu-linux,gcm,decrypt,4096,1,10,0.070020,0.007002000,557.876321
ubuntu-linux,gcm,decrypt,4096,2,10,0.072224,0.007222400,540.852071
ubuntu-linux,gcm,decrypt,4096,3,10,0.069800,0.006980000,559.634670
ubuntu-linux,ccm,encrypt,1024,1,10,0.033021,0.003302100,295.739832
ubuntu-linux,ccm,encrypt,1024,2,10,0.034805,0.003480500,280.581095
ubuntu-linux,ccm,encrypt,1024,3,10,0.033262,0.003326200,293.597048
ubuntu-linux,ccm,decrypt,1024,1,10,0.042529,0.004252900,229.622728
ubuntu-linux,ccm,decrypt,1024,2,10,0.043822,0.004382200,222.847542
ubuntu-linux,ccm,decrypt,1024,3,10,0.042740,0.004274000,228.489120
ubuntu-linux,ccm,encrypt,4096,1,10,0.115735,0.011573500,337.516741
ubuntu-linux,ccm,encrypt,4096,2,10,0.128098,0.012809800,304.942310
ubuntu-linux,ccm,encrypt,4096,3,10,0.118399,0.011839900,329.922550
ubuntu-linux,ccm,decrypt,4096,1,10,0.121255,0.012125500,322.151664
ubuntu-linux,ccm,decrypt,4096,2,10,0.129600,0.012960000,301.408179
ubuntu-linux,ccm,decrypt,4096,3,10,0.127437,0.012743700,306.524008
ubuntu-linux,xts,encrypt,1024,1,10,0.029405,0.002940500,332.107635
ubuntu-linux,xts,encrypt,1024,2,10,0.030116,0.003011600,324.267001
ubuntu-linux,xts,encrypt,1024,3,10,0.029896,0.002989600,326.653231
ubuntu-linux,xts,decrypt,1024,1,10,0.032250,0.003225000,302.810078
ubuntu-linux,xts,decrypt,1024,2,10,0.032200,0.003220000,303.280280
ubuntu-linux,xts,decrypt,1024,3,10,0.031879,0.003187900,306.334107
ubuntu-linux,xts,encrypt,4096,1,10,0.083515,0.008351500,467.730348
ubuntu-linux,xts,encrypt,4096,2,10,0.083996,0.008399600,465.051907
ubuntu-linux,xts,encrypt,4096,3,10,0.082604,0.008260400,472.888722
ubuntu-linux,xts,decrypt,4096,1,10,0.088794,0.008879400,439.922743
ubuntu-linux,xts,decrypt,4096,2,10,0.089036,0.008903600,438.727032
ubuntu-linux,xts,decrypt,4096,3,10,0.089947,0.008994700,434.283523
