platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
ubuntu-linux,cbc,encrypt,1024,3,10,0.002681000,0.002623900,0.000130483,0.000147656,364.814739,372.179771,17.311566,19.589881
ubuntu-linux,cbc,decrypt,1024,3,10,0.002206767,0.002193100,0.000050993,0.000057704,442.687179,445.288633,10.143477,11.478425
ubuntu-linux,cbc,encrypt,4096,3,10,0.009085533,0.009061800,0.000063991,0.000072412,429.955910,431.067779,3.018066,3.415263
ubuntu-linux,cbc,decrypt,4096,3,10,0.004891767,0.004725800,0.000527413,0.000596824,804.507505,826.579627,83.164709,94.109727
ubuntu-linux,ctr,encrypt,1024,3,10,0.002039767,0.002000700,0.000081004,0.000091664,479.254896,488.110411,18.622883,21.073776
ubuntu-linux,ctr,decrypt,1024,3,10,0.002170700,0.002164000,0.000022801,0.000025801,449.916632,451.276571,4.706074,5.325424
ubuntu-linux,ctr,encrypt,4096,3,10,0.003883567,0.003870200,0.000035019,0.000039627,1005.895137,1009.314764,9.030559,10.219039
ubuntu-linux,ctr,decrypt,4096,3,10,0.004179433,0.004148700,0.000057616,0.000065199,934.753776,941.560007,12.785284,14.467911
ubuntu-linux,gcm,encrypt,1024,3,10,0.002204767,0.002198100,0.000053413,0.000060442,443.104992,444.275738,10.689825,12.096676
ubuntu-linux,gcm,decrypt,1024,3,10,0.002924400,0.002926400,0.000018083,0.000020463,333.944542,333.707798,2.067090,2.339132
ubuntu-linux,gcm,encrypt,4096,3,10,0.007113567,0.006996000,0.000259278,0.000293400,549.604170,558.354774,19.646906,22.232567
ubuntu-linux,gcm,decrypt,4096,3,10,0.007068133,0.007002000,0.000134051,0.000151693,552.787688,557.876321,10.373869,11.739137
ubuntu-linux,ccm,encrypt,1024,3,10,0.003369600,0.003326200,0.000096795,0.000109534,289.972658,293.597048,8.203596,9.283242
ubuntu-linux,ccm,decrypt,1024,3,10,0.004303033,0.004274000,0.000069367,0.000078496,226.986464,228.489120,3.628949,4.106542
ubuntu-linux,ccm,encrypt,4096,3,10,0.012074400,0.011839900,0.000650655,0.000736286,324.127200,329.922550,17.042974,19.285940
ubuntu-linux,ccm,decrypt,4096,3,10,0.012609733,0.012743700,0.000433080,0.000490076,310.027950,306.524008,10.806537,12.228748
ubuntu-linux,xts,encrypt,1024,3,10,0.002980567,0.002989600,0.000036401,0.000041191,327.675956,326.653231,4.019124,4.548067
ubuntu-linux,xts,decrypt,1024,3,10,0.003210967,0.003220000,0.000020132,0.000022782,304.141488,303.280280,1.913363,2.165174
ubuntu-linux,xts,encrypt,4096,3,10,0.008337167,0.008351500,0.000070698,0.000080003,468.556992,467.730348,3.983268,4.507492
ubuntu-linux,xts,decrypt,4096,3,10,0.008925900,0.008903600,0.000060799,0.000068800,437.644432,438.727032,2.971400,3.362455
