platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
ubuntu-linux,ecb,encrypt,1024,30,100,0.001519184,0.001460715,0.000151143,0.000054086,647.672656,668.551551,50.681769,18.136238
ubuntu-linux,ecb,decrypt,1024,30,100,0.001458856,0.001450695,0.000019571,0.000007003,669.516481,673.168725,8.767645,3.137461
ubuntu-linux,ecb,encrypt,4096,30,100,0.005094847,0.005069265,0.000179810,0.000064344,767.499455,770.575294,23.274147,8.328546
ubuntu-linux,ecb,decrypt,4096,30,100,0.004207442,0.004192635,0.000045190,0.000016171,928.515724,931.693561,9.754861,3.490732
ubuntu-linux,ecb,encrypt,16384,30,100,0.017377744,0.017166130,0.000603289,0.000215884,900.083482,910.222630,28.187820,10.086882
ubuntu-linux,ecb,decrypt,16384,30,100,0.013360343,0.013241845,0.000409617,0.000146579,1170.468980,1179.971523,32.504279,11.631507
ubuntu-linux,ecb,encrypt,262144,30,100,0.535842842,0.535565930,0.003320840,0.001188347,466.571952,466.796016,2.878666,1.030117
ubuntu-linux,ecb,decrypt,262144,30,100,0.222318139,0.222171165,0.000870670,0.000311565,1124.531210,1125.258538,4.378798,1.566933
ubuntu-linux,ecb,encrypt,1048576,30,100,1.912975749,1.880080605,0.076624846,0.027419849,523.497132,531.892094,19.413108,6.946891
ubuntu-linux,ecb,decrypt,1048576,30,100,0.786742103,0.771376565,0.030078120,0.010763317,1272.792288,1296.383775,46.762483,16.733740
ubuntu-linux,ecb,encrypt,8388608,30,100,17.808895638,17.754324850,0.194958897,0.069765145,449.263771,450.594438,4.731675,1.693208
ubuntu-linux,ecb,decrypt,8388608,30,100,6.965324988,6.962541825,0.013952258,0.004992751,1148.550986,1149.005665,2.289780,0.819387
ubuntu-linux,cbc,encrypt,1024,30,100,0.002275751,0.002267465,0.000022126,0.000007918,429.155300,430.684709,4.126020,1.476477
ubuntu-linux,cbc,decrypt,1024,30,100,0.001622805,0.001616300,0.000017578,0.000006290,601.841294,604.196333,6.377980,2.282331
ubuntu-linux,cbc,encrypt,4096,30,100,0.008069466,0.008051060,0.000049560,0.000017735,484.095317,485.184560,2.940414,1.052214
ubuntu-linux,cbc,decrypt,4096,30,100,0.004385305,0.004377030,0.000049667,0.000017773,890.866791,892.443053,9.838342,3.520605
ubuntu-linux,cbc,encrypt,16384,30,100,0.028762156,0.028678285,0.000352730,0.000126223,543.323611,544.837322,6.331504,2.265700
ubuntu-linux,cbc,decrypt,16384,30,100,0.013582835,0.013565050,0.000078561,0.000028113,1150.385764,1151.857164,6.579353,2.354391
ubuntu-linux,cbc,encrypt,262144,30,100,0.459128153,0.458481285,0.001695510,0.000606731,544.517405,545.278542,1.995475,0.714072
ubuntu-linux,cbc,decrypt,262144,30,100,0.221139916,0.220841790,0.000833352,0.000298211,1130.521386,1132.032126,4.225960,1.512240
ubuntu-linux,cbc,encrypt,1048576,30,100,1.478123482,1.478893710,0.002823936,0.001010532,676.535855,676.181118,1.294517,0.463237
ubuntu-linux,cbc,decrypt,1048576,30,100,0.761983081,0.756061860,0.017753306,0.006352939,1313.014464,1322.643114,28.839926,10.320235
ubuntu-linux,cbc,encrypt,8388608,30,100,23.622917680,23.626074135,0.034408986,0.012313097,338.654882,338.608944,0.492846,0.176363
ubuntu-linux,cbc,decrypt,8388608,30,100,7.609783656,7.604464195,0.017716517,0.006339774,1051.283740,1052.013639,2.442095,0.873892
ubuntu-linux,cfb,encrypt,1024,30,100,0.002263028,0.002254290,0.000021197,0.000007585,431.565344,433.201810,3.999763,1.431297
ubuntu-linux,cfb,decrypt,1024,30,100,0.001761683,0.001546225,0.001175406,0.000420614,614.353684,631.578555,93.283412,33.381040
ubuntu-linux,cfb,encrypt,4096,30,100,0.007080424,0.007074345,0.000064924,0.000023233,551.740285,552.171261,4.859779,1.739049
ubuntu-linux,cfb,decrypt,4096,30,100,0.004038728,0.004031240,0.000024007,0.000008591,967.230994,968.994834,5.740601,2.054248
ubuntu-linux,cfb,encrypt,16384,30,100,0.024756533,0.024720485,0.000093429,0.000033433,631.155178,632.066887,2.369470,0.847904
ubuntu-linux,cfb,decrypt,16384,30,100,0.012603156,0.012545215,0.000110636,0.000039590,1239.860427,1245.494798,10.794333,3.862702
ubuntu-linux,cfb,encrypt,262144,30,100,0.397095284,0.396629630,0.001164648,0.000416764,629.577025,630.310961,1.836607,0.657221
ubuntu-linux,cfb,decrypt,262144,30,100,0.203968090,0.203666255,0.001243859,0.000445109,1225.725164,1227.498389,7.336012,2.625158
ubuntu-linux,cfb,encrypt,1048576,30,100,1.468868051,1.469264595,0.002321857,0.000830866,680.797991,680.612613,1.077106,0.385437
