platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
windows11-mingw64,cbc,encrypt,1024,3,10,0.017596667,0.015730000,0.004019420,0.004548401,57.271361,62.082804,11.665695,13.200977
windows11-mingw64,cbc,decrypt,1024,3,10,0.015620000,0.015770000,0.000599250,0.000678115,62.582272,61.925333,2.434899,2.755347
windows11-mingw64,cbc,encrypt,4096,3,10,0.023790000,0.024100000,0.002628745,0.002974705,165.576502,162.085062,18.758001,21.226676
windows11-mingw64,cbc,decrypt,4096,3,10,0.018546667,0.017570000,0.002502286,0.002831603,213.044340,222.324986,27.007287,30.561622
windows11-mingw64,ctr,encrypt,1024,3,10,0.027420000,0.013300000,0.024777677,0.028038582,55.460635,73.425752,32.952871,37.289684
windows11-mingw64,ctr,decrypt,1024,3,10,0.012813333,0.012760000,0.000571868,0.000647130,76.315337,76.533111,3.388250,3.834165
windows11-mingw64,ctr,encrypt,4096,3,10,0.014156667,0.013760000,0.000949333,0.001074272,276.732118,283.884448,17.943349,20.304811
windows11-mingw64,ctr,decrypt,4096,3,10,0.019750000,0.018690000,0.003204310,0.003626018,201.089652,209.002140,30.618814,34.648450
windows11-mingw64,gcm,encrypt,1024,3,10,0.013010000,0.013090000,0.000240208,0.000271821,75.079657,74.603705,1.397781,1.581738
windows11-mingw64,gcm,decrypt,1024,3,10,0.014546667,0.014480000,0.000374477,0.000423761,67.162559,67.442162,1.718002,1.944102
windows11-mingw64,gcm,encrypt,4096,3,10,0.014583333,0.014520000,0.000627402,0.000709972,268.186132,269.025482,11.473889,12.983928
windows11-mingw64,gcm,decrypt,4096,3,10,0.016180000,0.016250000,0.000419404,0.000474601,241.533497,240.384615,6.302310,7.131735
windows11-mingw64,ccm,encrypt,1024,3,10,0.018603333,0.018810000,0.003554509,0.004022305,53.842551,51.917198,10.648041,12.049392
windows11-mingw64,ccm,decrypt,1024,3,10,0.016000000,0.016100000,0.000331512,0.000375141,61.052781,60.656056,1.275989,1.443917
windows11-mingw64,ccm,encrypt,4096,3,10,0.020440000,0.020520000,0.000396106,0.000448236,191.156255,190.363060,3.725910,4.216264
windows11-mingw64,ccm,decrypt,4096,3,10,0.024003333,0.024250000,0.000751022,0.000849861,162.845590,161.082474,5.167246,5.847290
windows11-mingw64,xts,encrypt,1024,3,10,0.014370000,0.014440000,0.000379868,0.000429862,67.990326,67.628982,1.810584,2.048869
windows11-mingw64,xts,decrypt,1024,3,10,0.014283333,0.014250000,0.000251661,0.000284781,68.384876,68.530702,1.200924,1.358973
windows11-mingw64,xts,encrypt,4096,3,10,0.019673333,0.019840000,0.000444110,0.000502557,198.623801,196.887601,4.533607,5.130260
windows11-mingw64,xts,decrypt,4096,3,10,0.049293333,0.030830000,0.039149218,0.044301510,113.182015,126.702887,66.026939,74.716515
