platform,mode,operation,payload_bytes,run,ops,total_ms,ms_per_op,throughput_mib_s
windows,ecb,encrypt,1024,1,100,0.755400,0.007554000,129.277535
windows,ecb,encrypt,1024,2,100,0.697900,0.006979000,139.928715
windows,ecb,encrypt,1024,3,100,0.548600,0.005486000,178.009934
windows,ecb,encrypt,1024,4,100,0.471200,0.004712000,207.250106
windows,ecb,encrypt,1024,5,100,0.450100,0.004501000,216.965674
windows,ecb,encrypt,1024,6,100,0.442900,0.004429000,220.492775
windows,ecb,encrypt,1024,7,100,0.418200,0.004182000,233.515662
windows,ecb,encrypt,1024,8,100,0.431200,0.004312000,226.475533
windows,ecb,encrypt,1024,9,100,0.417900,0.004179000,233.683297
windows,ecb,encrypt,1024,10,100,0.422900,0.004229000,230.920430
windows,ecb,encrypt,1024,11,100,0.413500,0.004135000,236.169891
windows,ecb,encrypt,1024,12,100,0.455000,0.004550000,214.629121
windows,ecb,encrypt,1024,13,100,0.331200,0.003312000,294.855827
windows,ecb,encrypt,1024,14,100,0.314400,0.003144000,310.611482
windows,ecb,encrypt,1024,15,100,0.311200,0.003112000,313.805431
windows,ecb,encrypt,1024,16,100,0.315900,0.003159000,309.136594
windows,ecb,encrypt,1024,17,100,0.319400,0.003194000,305.749061
windows,ecb,encrypt,1024,18,100,0.318700,0.003187000,306.420615
windows,ecb,encrypt,1024,19,100,0.323600,0.003236000,301.780748
windows,ecb,encrypt,1024,20,100,0.316100,0.003161000,308.941000
windows,ecb,encrypt,1024,21,100,0.310800,0.003108000,314.209299
windows,ecb,encrypt,1024,22,100,0.311200,0.003112000,313.805431
windows,ecb,encrypt,1024,23,100,0.312300,0.003123000,312.700128
windows,ecb,encrypt,1024,24,100,0.311300,0.003113000,313.704626
windows,ecb,encrypt,1024,25,100,0.318300,0.003183000,306.805686
windows,ecb,encrypt,1024,26,100,0.314800,0.003148000,310.216804
windows,ecb,encrypt,1024,27,100,0.311600,0.003116000,313.402599
windows,ecb,encrypt,1024,28,100,0.311000,0.003110000,314.007235
windows,ecb,encrypt,1024,29,100,0.332200,0.003322000,293.968242
windows,ecb,encrypt,1024,30,100,0.312900,0.003129000,312.100511
windows,ecb,decrypt,1024,1,100,0.610000,0.006100000,160.092213
windows,ecb,decrypt,1024,2,100,0.566400,0.005664000,172.415696
windows,ecb,decrypt,1024,3,100,0.357800,0.003578000,272.935299
windows,ecb,decrypt,1024,4,100,0.404500,0.004045000,241.424598
windows,ecb,decrypt,1024,5,100,0.602600,0.006026000,162.058165
windows,ecb,decrypt,1024,6,100,0.372100,0.003721000,262.446251
windows,ecb,decrypt,1024,7,100,0.323900,0.003239000,301.501235
windows,ecb,decrypt,1024,8,100,0.317800,0.003178000,307.288389
windows,ecb,decrypt,1024,9,100,0.316400,0.003164000,308.648072
windows,ecb,decrypt,1024,10,100,0.314900,0.003149000,310.118292
windows,ecb,decrypt,1024,11,100,0.327600,0.003276000,298.096001
windows,ecb,decrypt,1024,12,100,0.315900,0.003159000,309.136594
windows,ecb,decrypt,1024,13,100,0.315200,0.003152000,309.823128
