platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
windows,ecb,encrypt,1024,30,100,0.003873900,0.003215000,0.001134714,0.000406052,267.451333,303.764904,56.344556,20.162640
windows,ecb,decrypt,1024,30,100,0.003528133,0.003179000,0.000840921,0.000300920,286.938840,307.191757,44.436723,15.901477
windows,ecb,encrypt,4096,30,100,0.004304800,0.004250000,0.000361460,0.000129347,912.775458,919.548543,66.610650,23.836315
windows,ecb,decrypt,4096,30,100,0.004416967,0.004240500,0.000631476,0.000225971,897.492520,921.177376,96.259981,34.446192
windows,ecb,encrypt,16384,30,100,0.014552700,0.015710500,0.003666259,0.001311954,1145.055159,994.557789,309.030405,110.585110
windows,ecb,decrypt,16384,30,100,0.009334567,0.009038500,0.001266758,0.000453303,1697.838284,1728.754270,186.330041,66.677349
windows,ecb,encrypt,262144,30,100,0.251722767,0.185163000,0.141607151,0.050673468,1300.907595,1350.580139,601.415740,215.213859
windows,ecb,decrypt,262144,30,100,0.098416200,0.094950000,0.009547401,0.003416493,2561.501518,2632.966275,227.327642,81.348152
windows,ecb,encrypt,1048576,30,100,1.251149400,1.241422500,0.059728206,0.021373464,800.930867,805.527715,36.195677,12.952457
windows,ecb,decrypt,1048576,30,100,0.913458267,0.899154500,0.070804499,0.025337065,1099.954771,1112.156037,70.098422,25.084398
windows,ecb,encrypt,8388608,30,100,11.137477600,11.033014500,0.383226840,0.137135964,719.097583,725.096660,24.132232,8.635608
windows,ecb,decrypt,8388608,30,100,10.046376367,9.992528000,0.462246749,0.165412875,797.885811,800.605561,35.589875,12.735673
windows,cbc,encrypt,1024,30,100,0.006084200,0.006013000,0.000819209,0.000293150,163.111258,162.409542,20.281868,7.257773
windows,cbc,decrypt,1024,30,100,0.004557900,0.004393000,0.000570609,0.000204190,216.425272,222.300419,18.156204,6.497114
windows,cbc,encrypt,4096,30,100,0.013804267,0.013164000,0.001996681,0.000714503,287.901479,296.767153,35.831523,12.822146
windows,cbc,decrypt,4096,30,100,0.005917400,0.005539000,0.001010949,0.000361763,674.556303,705.237701,88.857846,31.797372
windows,cbc,encrypt,16384,30,100,0.042324667,0.042025500,0.001981181,0.000708956,369.936150,371.798951,16.954622,6.067134
windows,cbc,decrypt,16384,30,100,0.011797000,0.011345000,0.001480779,0.000529890,1341.727783,1377.258747,143.581264,51.379896
