platform,mode,operation,payload_bytes,run,ops,total_ms,ms_per_op,throughput_mib_s
windows11-mingw64,cbc,encrypt,1024,1,10,0.148500,0.014850000,65.761785
windows11-mingw64,cbc,encrypt,1024,2,10,0.222100,0.022210000,43.969496
windows11-mingw64,cbc,encrypt,1024,3,10,0.157300,0.015730000,62.082804
windows11-mingw64,cbc,decrypt,1024,1,10,0.157700,0.015770000,61.925333
windows11-mingw64,cbc,decrypt,1024,2,10,0.149600,0.014960000,65.278242
windows11-mingw64,cbc,decrypt,1024,3,10,0.161300,0.016130000,60.543242
windows11-mingw64,cbc,encrypt,4096,1,10,0.210200,0.021020000,185.834919
windows11-mingw64,cbc,encrypt,4096,2,10,0.241000,0.024100000,162.085062
windows11-mingw64,cbc,encrypt,4096,3,10,0.262500,0.026250000,148.809524
windows11-mingw64,cbc,decrypt,4096,1,10,0.213900,0.021390000,182.620383
windows11-mingw64,cbc,decrypt,4096,2,10,0.175700,0.017570000,222.324986
windows11-mingw64,cbc,decrypt,4096,3,10,0.166800,0.016680000,234.187650
windows11-mingw64,ctr,encrypt,1024,1,10,0.133000,0.013300000,73.425752
windows11-mingw64,ctr,encrypt,1024,2,10,0.129300,0.012930000,75.526875
windows11-mingw64,ctr,encrypt,1024,3,10,0.560300,0.056030000,17.429279
windows11-mingw64,ctr,decrypt,1024,1,10,0.122700,0.012270000,79.589446
windows11-mingw64,ctr,decrypt,1024,2,10,0.134100,0.013410000,72.823453
windows11-mingw64,ctr,decrypt,1024,3,10,0.127600,0.012760000,76.533111
windows11-mingw64,ctr,encrypt,4096,1,10,0.152400,0.015240000,256.315617
windows11-mingw64,ctr,encrypt,4096,2,10,0.137600,0.013760000,283.884448
windows11-mingw64,ctr,encrypt,4096,3,10,0.134700,0.013470000,289.996288
windows11-mingw64,ctr,decrypt,4096,1,10,0.233500,0.023350000,167.291221
windows11-mingw64,ctr,decrypt,4096,2,10,0.186900,0.018690000,209.002140
windows11-mingw64,ctr,decrypt,4096,3,10,0.172100,0.017210000,226.975596
windows11-mingw64,gcm,encrypt,1024,1,10,0.127400,0.012740000,76.653257
windows11-mingw64,gcm,encrypt,1024,2,10,0.132000,0.013200000,73.982008
windows11-mingw64,gcm,encrypt,1024,3,10,0.130900,0.013090000,74.603705
windows11-mingw64,gcm,decrypt,1024,1,10,0.142100,0.014210000,68.723610
windows11-mingw64,gcm,decrypt,1024,2,10,0.149500,0.014950000,65.321906
windows11-mingw64,gcm,decrypt,1024,3,10,0.144800,0.014480000,67.442162
windows11-mingw64,gcm,encrypt,4096,1,10,0.139900,0.013990000,279.217298
windows11-mingw64,gcm,encrypt,4096,2,10,0.145200,0.014520000,269.025482
windows11-mingw64,gcm,encrypt,4096,3,10,0.152400,0.015240000,256.315617
windows11-mingw64,gcm,decrypt,4096,1,10,0.157300,0.015730000,248.331214
windows11-mingw64,gcm,decrypt,4096,2,10,0.165600,0.016560000,235.884662
windows11-mingw64,gcm,decrypt,4096,3,10,0.162500,0.016250000,240.384615
windows11-mingw64,ccm,encrypt,1024,1,10,0.220500,0.022050000,44.288549
windows11-mingw64,ccm,encrypt,1024,2,10,0.188100,0.018810000,51.917198
windows11-mingw64,ccm,encrypt,1024,3,10,0.149500,0.014950000,65.321906
windows11-mingw64,ccm,decrypt,1024,1,10,0.156300,0.015630000,62.480006
windows11-mingw64,ccm,decrypt,1024,2,10,0.162700,0.016270000,60.022280
windows11-mingw64,ccm,decrypt,1024,3,10,0.161000,0.016100000,60.656056
windows11-mingw64,ccm,encrypt,4096,1,10,0.200100,0.020010000,195.214893
windows11-mingw64,ccm,encrypt,4096,2,10,0.207900,0.020790000,187.890813
windows11-mingw64,ccm,encrypt,4096,3,10,0.205200,0.020520000,190.363060
windows11-mingw64,ccm,decrypt,4096,1,10,0.242500,0.024250000,161.082474
windows11-mingw64,ccm,decrypt,4096,2,10,0.246000,0.024600000,158.790650
windows11-mingw64,ccm,decrypt,4096,3,10,0.231600,0.023160000,168.663644
windows11-mingw64,xts,encrypt,1024,1,10,0.139600,0.013960000,69.954334
windows11-mingw64,xts,encrypt,1024,2,10,0.147100,0.014710000,66.387661
windows11-mingw64,xts,encrypt,1024,3,10,0.144400,0.014440000,67.628982
windows11-mingw64,xts,decrypt,1024,1,10,0.140500,0.014050000,69.506228
windows11-mingw64,xts,decrypt,1024,2,10,0.145500,0.014550000,67.117698
windows11-mingw64,xts,decrypt,1024,3,10,0.142500,0.014250000,68.530702
windows11-mingw64,xts,encrypt,4096,1,10,0.198400,0.019840000,196.887601
windows11-mingw64,xts,encrypt,4096,2,10,0.200100,0.020010000,195.214893
windows11-mingw64,xts,encrypt,4096,3,10,0.191700,0.019170000,203.768910
windows11-mingw64,xts,decrypt,4096,1,10,0.227900,0.022790000,171.401931
windows11-mingw64,xts,decrypt,4096,2,10,0.942600,0.094260000,41.441226
windows11-mingw64,xts,decrypt,4096,3,10,0.308300,0.030830000,126.702887
