platform,mode,operation,payload_bytes,run,ops,total_ms,ms_per_op,throughput_mib_s
windows11-mingw64,ecb,encrypt,1024,1,100,0.332600,0.003326000,293.614702
windows11-mingw64,ecb,encrypt,1024,2,100,0.336000,0.003360000,290.643601
windows11-mingw64,ecb,encrypt,1024,3,100,0.326200,0.003262000,299.375383
windows11-mingw64,ecb,encrypt,1024,4,100,0.347100,0.003471000,281.349035
windows11-mingw64,ecb,encrypt,1024,5,100,0.330000,0.003300000,295.928030
windows11-mingw64,ecb,encrypt,1024,6,100,0.315900,0.003159000,309.136594
windows11-mingw64,ecb,encrypt,1024,7,100,0.351500,0.003515000,277.827169
windows11-mingw64,ecb,encrypt,1024,8,100,0.326900,0.003269000,298.734322
windows11-mingw64,ecb,encrypt,1024,9,100,0.511900,0.005119000,190.772123
windows11-mingw64,ecb,encrypt,1024,10,100,0.756400,0.007564000,129.106623
windows11-mingw64,ecb,encrypt,1024,11,100,0.498700,0.004987000,195.821636
windows11-mingw64,ecb,encrypt,1024,12,100,0.348700,0.003487000,280.058073
windows11-mingw64,ecb,encrypt,1024,13,100,0.327000,0.003270000,298.642966
windows11-mingw64,ecb,encrypt,1024,14,100,0.340100,0.003401000,287.139812
windows11-mingw64,ecb,encrypt,1024,15,100,0.509300,0.005093000,191.746024
windows11-mingw64,ecb,encrypt,1024,16,100,0.374400,0.003744000,260.834001
windows11-mingw64,ecb,encrypt,1024,17,100,0.384000,0.003840000,254.313151
windows11-mingw64,ecb,encrypt,1024,18,100,0.379700,0.003797000,257.193179
windows11-mingw64,ecb,encrypt,1024,19,100,0.325600,0.003256000,299.927058
windows11-mingw64,ecb,encrypt,1024,20,100,0.317700,0.003177000,307.385112
windows11-mingw64,ecb,encrypt,1024,21,100,0.329400,0.003294000,296.467061
windows11-mingw64,ecb,encrypt,1024,22,100,0.319000,0.003190000,306.132445
windows11-mingw64,ecb,encrypt,1024,23,100,0.314600,0.003146000,310.414018
windows11-mingw64,ecb,encrypt,1024,24,100,0.335000,0.003350000,291.511194
windows11-mingw64,ecb,encrypt,1024,25,100,0.320800,0.003208000,304.414744
windows11-mingw64,ecb,encrypt,1024,26,100,0.314700,0.003147000,310.315380
windows11-mingw64,ecb,encrypt,1024,27,100,0.905800,0.009058000,107.812155
windows11-mingw64,ecb,encrypt,1024,28,100,0.706100,0.007061000,138.303711
windows11-mingw64,ecb,encrypt,1024,29,100,0.502300,0.005023000,194.418176
windows11-mingw64,ecb,encrypt,1024,30,100,0.335800,0.003358000,290.816706
windows11-mingw64,ecb,decrypt,1024,1,100,0.533300,0.005333000,183.116914
windows11-mingw64,ecb,decrypt,1024,2,100,0.546100,0.005461000,178.824849
windows11-mingw64,ecb,decrypt,1024,3,100,0.562200,0.005622000,173.703753
windows11-mingw64,ecb,decrypt,1024,4,100,0.541700,0.005417000,180.277368
windows11-mingw64,ecb,decrypt,1024,5,100,0.540000,0.005400000,180.844907
windows11-mingw64,ecb,decrypt,1024,6,100,0.536300,0.005363000,182.092579
windows11-mingw64,ecb,decrypt,1024,7,100,0.553000,0.005530000,176.593580
windows11-mingw64,ecb,decrypt,1024,8,100,0.528000,0.005280000,184.955019
windows11-mingw64,ecb,decrypt,1024,9,100,0.496600,0.004966000,196.649718
windows11-mingw64,ecb,decrypt,1024,10,100,0.654500,0.006545000,149.207410
windows11-mingw64,ecb,decrypt,1024,11,100,0.348100,0.003481000,280.540793
windows11-mingw64,ecb,decrypt,1024,12,100,0.323600,0.003236000,301.780748
windows11-mingw64,ecb,decrypt,1024,13,100,0.355600,0.003556000,274.623875
windows11-mingw64,ecb,decrypt,1024,14,100,0.319500,0.003195000,305.653365
windows11-mingw64,ecb,decrypt,1024,15,100,0.317700,0.003177000,307.385112
windows11-mingw64,ecb,decrypt,1024,16,100,0.332000,0.003320000,294.145331
windows11-mingw64,ecb,decrypt,1024,17,100,0.320700,0.003207000,304.509666
windows11-mingw64,ecb,decrypt,1024,18,100,0.316000,0.003160000,309.038766
windows11-mingw64,ecb,decrypt,1024,19,100,0.395100,0.003951000,247.168438
windows11-mingw64,ecb,decrypt,1024,20,100,0.326300,0.003263000,299.283635
windows11-mingw64,ecb,decrypt,1024,21,100,0.318100,0.003181000,306.998585
windows11-mingw64,ecb,decrypt,1024,22,100,0.334400,0.003344000,292.034240
windows11-mingw64,ecb,decrypt,1024,23,100,0.320100,0.003201000,305.080444
windows11-mingw64,ecb,decrypt,1024,24,100,0.351500,0.003515000,277.827169
windows11-mingw64,ecb,decrypt,1024,25,100,0.333700,0.003337000,292.646838
