platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
windows11-mingw64,ecb,encrypt,1024,30,100,0.004041067,0.003359000,0.001465921,0.000524573,261.671806,290.730154,59.145940,21.165103
windows11-mingw64,ecb,decrypt,1024,30,100,0.004199167,0.003535500,0.001084905,0.000388228,246.785100,276.225522,57.487825,20.571754
windows11-mingw64,ecb,encrypt,4096,30,100,0.004503400,0.004160000,0.001060200,0.000379388,896.492378,939.002458,129.456254,46.325325
windows11-mingw64,ecb,decrypt,4096,30,100,0.004472867,0.004058500,0.001231011,0.000440512,911.018571,962.486505,145.471597,52.056342
windows11-mingw64,ecb,encrypt,16384,30,100,0.015948967,0.012883000,0.008286387,0.002965246,1194.119075,1212.854087,471.707802,168.798469
windows11-mingw64,ecb,decrypt,16384,30,100,0.008778400,0.008164500,0.001984827,0.000710261,1828.119359,1913.773394,226.870720,81.184645
windows11-mingw64,ecb,encrypt,262144,30,100,0.105041800,0.104933500,0.004512614,0.001614818,2384.252169,2382.482811,102.380844,36.636515
windows11-mingw64,ecb,decrypt,262144,30,100,0.097941667,0.095260000,0.009830058,0.003517641,2572.496715,2624.400764,207.004758,74.075701
windows11-mingw64,ecb,encrypt,1048576,30,100,1.262356967,1.264182500,0.015685007,0.005612808,792.286980,791.025243,9.827357,3.516675
windows11-mingw64,ecb,decrypt,1048576,30,100,0.929363967,0.926595000,0.015918236,0.005696267,1076.309031,1079.226026,18.383751,6.578541
windows11-mingw64,ecb,encrypt,8388608,30,100,10.991120567,10.967985000,0.122264091,0.043751643,727.946981,729.395646,8.064456,2.885829
windows11-mingw64,ecb,decrypt,8388608,30,100,8.902464600,8.897406000,0.196149004,0.070191020,899.028926,899.138491,18.862146,6.749732
windows11-mingw64,cbc,encrypt,1024,30,100,0.005400467,0.004996500,0.001053400,0.000376954,185.299244,195.449645,24.052812,8.607188
windows11-mingw64,cbc,decrypt,1024,30,100,0.003920733,0.003579000,0.000893055,0.000319576,257.256017,272.859571,37.817693,13.532888
windows11-mingw64,cbc,encrypt,4096,30,100,0.010985400,0.010531500,0.001075471,0.000384852,358.371647,370.911987,29.477738,10.548473
windows11-mingw64,cbc,decrypt,4096,30,100,0.004724767,0.004409500,0.000955996,0.000342099,847.478139,885.873339,107.658643,38.525151
windows11-mingw64,cbc,encrypt,16384,30,100,0.035986200,0.036124500,0.002142281,0.000766606,435.611720,432.536912,24.689638,8.835074
windows11-mingw64,cbc,decrypt,16384,30,100,0.009690167,0.009083000,0.001261402,0.000451387,1634.807263,1720.247636,177.873892,63.651355
windows11-mingw64,cbc,encrypt,262144,30,100,0.512273267,0.512213000,0.005144885,0.001841074,488.068261,488.078206,4.890741,1.750129
windows11-mingw64,cbc,decrypt,262144,30,100,0.107556433,0.106255500,0.004577115,0.001637899,2328.302457,2352.819447,95.900937,34.317709
windows11-mingw64,cbc,encrypt,1048576,30,100,2.903584167,2.908406000,0.047196481,0.016889044,344.490014,343.831011,5.608534,2.006988
