platform,rsa_bits,family,operation,payload_bytes,run_index,ops,total_ms,ms_per_op,throughput_mib_s
linux,3072,rsa-oaep,encrypt,32,1,1,0.097920,0.097920,0.311658
linux,3072,rsa-oaep,encrypt,32,2,1,0.094663,0.094663,0.322381
linux,3072,rsa-oaep,encrypt,32,3,1,0.101348,0.101348,0.301117
linux,3072,rsa-oaep,encrypt,32,4,1,0.093961,0.093961,0.324790
linux,3072,rsa-oaep,encrypt,32,5,1,0.090063,0.090063,0.338847
linux,3072,rsa-oaep,encrypt,32,6,1,0.090834,0.090834,0.335971
linux,3072,rsa-oaep,encrypt,32,7,1,0.090904,0.090904,0.335712
linux,3072,rsa-oaep,encrypt,32,8,1,0.090223,0.090223,0.338246
linux,3072,rsa-oaep,encrypt,32,9,1,0.090683,0.090683,0.336530
linux,3072,rsa-oaep,encrypt,32,10,1,0.091867,0.091867,0.332193
linux,3072,rsa-oaep,encrypt,32,11,1,0.091556,0.091556,0.333321
linux,3072,rsa-oaep,encrypt,32,12,1,0.090534,0.090534,0.337084
linux,3072,rsa-oaep,encrypt,32,13,1,0.090102,0.090102,0.338700
linux,3072,rsa-oaep,encrypt,32,14,1,0.099604,0.099604,0.306389
linux,3072,rsa-oaep,encrypt,32,15,1,0.094251,0.094251,0.323790
linux,3072,rsa-oaep,encrypt,32,16,1,0.091586,0.091586,0.333212
linux,3072,rsa-oaep,encrypt,32,17,1,0.090785,0.090785,0.336152
linux,3072,rsa-oaep,encrypt,32,18,1,0.090183,0.090183,0.338396
linux,3072,rsa-oaep,encrypt,32,19,1,0.089732,0.089732,0.340097
linux,3072,rsa-oaep,encrypt,32,20,1,0.089521,0.089521,0.340899
linux,3072,rsa-oaep,encrypt,32,21,1,0.089712,0.089712,0.340173
linux,3072,rsa-oaep,encrypt,32,22,1,0.093259,0.093259,0.327235
linux,3072,rsa-oaep,encrypt,32,23,1,0.089852,0.089852,0.339643
linux,3072,rsa-oaep,encrypt,32,24,1,0.089531,0.089531,0.340860
linux,3072,rsa-oaep,encrypt,32,25,1,0.102340,0.102340,0.298198
linux,3072,rsa-oaep,encrypt,32,26,1,0.092477,0.092477,0.330002
linux,3072,rsa-oaep,encrypt,32,27,1,0.090564,0.090564,0.336973
linux,3072,rsa-oaep,encrypt,32,28,1,0.090614,0.090614,0.336787
linux,3072,rsa-oaep,encrypt,32,29,1,0.090553,0.090553,0.337013
linux,3072,rsa-oaep,encrypt,32,30,1,0.090173,0.090173,0.338434
linux,3072,rsa-oaep,decrypt,32,1,1,79.018631,79.018631,0.000386
linux,3072,rsa-oaep,decrypt,32,2,1,65.597490,65.597490,0.000465
linux,3072,rsa-oaep,decrypt,32,3,1,52.858133,52.858133,0.000577
linux,3072,rsa-oaep,decrypt,32,4,1,53.034960,53.034960,0.000575
linux,3072,rsa-oaep,decrypt,32,5,1,53.029108,53.029108,0.000575
linux,3072,rsa-oaep,decrypt,32,6,1,53.200473,53.200473,0.000574
linux,3072,rsa-oaep,decrypt,32,7,1,53.132279,53.132279,0.000574
linux,3072,rsa-oaep,decrypt,32,8,1,53.519991,53.519991,0.000570
linux,3072,rsa-oaep,decrypt,32,9,1,53.347052,53.347052,0.000572
linux,3072,rsa-oaep,decrypt,32,10,1,53.721694,53.721694,0.000568
linux,3072,rsa-oaep,decrypt,32,11,1,53.560011,53.560011,0.000570
linux,3072,rsa-oaep,decrypt,32,12,1,53.098683,53.098683,0.000575
linux,3072,rsa-oaep,decrypt,32,13,1,53.186241,53.186241,0.000574
linux,3072,rsa-oaep,decrypt,32,14,1,53.221770,53.221770,0.000573
linux,3072,rsa-oaep,decrypt,32,15,1,53.094585,53.094585,0.000575
linux,3072,rsa-oaep,decrypt,32,16,1,53.405153,53.405153,0.000571
linux,3072,rsa-oaep,decrypt,32,17,1,53.220648,53.220648,0.000573
linux,3072,rsa-oaep,decrypt,32,18,1,53.251130,53.251130,0.000573
linux,3072,rsa-oaep,decrypt,32,19,1,53.088649,53.088649,0.000575
linux,3072,rsa-oaep,decrypt,32,20,1,53.099734,53.099734,0.000575
linux,3072,rsa-oaep,decrypt,32,21,1,53.278381,53.278381,0.000573
linux,3072,rsa-oaep,decrypt,32,22,1,53.281568,53.281568,0.000573
linux,3072,rsa-oaep,decrypt,32,23,1,53.117122,53.117122,0.000575
linux,3072,rsa-oaep,decrypt,32,24,1,53.168818,53.168818,0.000574
linux,3072,rsa-oaep,decrypt,32,25,1,53.290498,53.290498,0.000573
linux,3072,rsa-oaep,decrypt,32,26,1,53.126504,53.126504,0.000574
linux,3072,rsa-oaep,decrypt,32,27,1,53.323933,53.323933,0.000572
linux,3072,rsa-oaep,decrypt,32,28,1,53.159086,53.159086,0.000574
linux,3072,rsa-oaep,decrypt,32,29,1,53.289677,53.289677,0.000573
linux,3072,rsa-oaep,decrypt,32,30,1,53.095354,53.095354,0.000575
linux,3072,hybrid,encrypt,104857600,1,1,378.094045,378.094045,264.484462
linux,3072,hybrid,encrypt,104857600,2,1,377.214348,377.214348,265.101263
linux,3072,hybrid,encrypt,104857600,3,1,375.917871,375.917871,266.015552
linux,3072,hybrid,encrypt,104857600,4,1,376.027610,376.027610,265.937919
linux,3072,hybrid,encrypt,104857600,5,1,376.243502,376.243502,265.785321
linux,3072,hybrid,encrypt,104857600,6,1,376.994076,376.994076,265.256157
linux,3072,hybrid,encrypt,104857600,7,1,377.600878,377.600878,264.829893
linux,3072,hybrid,encrypt,104857600,8,1,374.960818,374.960818,266.694532
linux,3072,hybrid,encrypt,104857600,9,1,376.899901,376.899901,265.322436
linux,3072,hybrid,encrypt,104857600,10,1,375.433834,375.433834,266.358519
linux,3072,hybrid,encrypt,104857600,11,1,374.245737,374.245737,267.204112
linux,3072,hybrid,encrypt,104857600,12,1,375.014539,375.014539,266.656328
linux,3072,hybrid,encrypt,104857600,13,1,377.288075,377.288075,265.049459
linux,3072,hybrid,encrypt,104857600,14,1,376.793600,376.793600,265.397289
linux,3072,hybrid,encrypt,104857600,15,1,378.200677,378.200677,264.409892
linux,3072,hybrid,encrypt,104857600,16,1,377.276423,377.276423,265.057644
linux,3072,hybrid,encrypt,104857600,17,1,377.740425,377.740425,264.732058
linux,3072,hybrid,encrypt,104857600,18,1,378.055571,378.055571,264.511378
linux,3072,hybrid,encrypt,104857600,19,1,376.924651,376.924651,265.305015
linux,3072,hybrid,encrypt,104857600,20,1,378.389398,378.389398,264.278018
linux,3072,hybrid,encrypt,104857600,21,1,377.594020,377.594020,264.834703
linux,3072,hybrid,encrypt,104857600,22,1,379.657037,379.657037,263.395618
linux,3072,hybrid,encrypt,104857600,23,1,374.137735,374.137735,267.281246
linux,3072,hybrid,encrypt,104857600,24,1,373.462964,373.462964,267.764168
linux,3072,hybrid,encrypt,104857600,25,1,376.505972,376.505972,265.600037
linux,3072,hybrid,encrypt,104857600,26,1,376.643892,376.643892,265.502779
linux,3072,hybrid,encrypt,104857600,27,1,375.334133,375.334133,266.429273
linux,3072,hybrid,encrypt,104857600,28,1,376.191524,376.191524,265.822044
linux,3072,hybrid,encrypt,104857600,29,1,376.336086,376.336086,265.719934
linux,3072,hybrid,encrypt,104857600,30,1,377.188027,377.188027,265.119762
linux,3072,hybrid,decrypt,104857600,1,1,495.918758,495.918758,201.645932
linux,3072,hybrid,decrypt,104857600,2,1,495.803104,495.803104,201.692969
linux,3072,hybrid,decrypt,104857600,3,1,496.907931,496.907931,201.244524
linux,3072,hybrid,decrypt,104857600,4,1,496.969081,496.969081,201.219762
linux,3072,hybrid,decrypt,104857600,5,1,497.896309,497.896309,200.845032
linux,3072,hybrid,decrypt,104857600,6,1,499.864124,499.864124,200.054365
linux,3072,hybrid,decrypt,104857600,7,1,502.233894,502.233894,199.110417
linux,3072,hybrid,decrypt,104857600,8,1,495.768495,495.768495,201.707049
linux,3072,hybrid,decrypt,104857600,9,1,495.946472,495.946472,201.634664
linux,3072,hybrid,decrypt,104857600,10,1,496.420502,496.420502,201.442123
linux,3072,hybrid,decrypt,104857600,11,1,495.735898,495.735898,201.720312
linux,3072,hybrid,decrypt,104857600,12,1,496.032028,496.032028,201.599885
linux,3072,hybrid,decrypt,104857600,13,1,497.852280,497.852280,200.862794
linux,3072,hybrid,decrypt,104857600,14,1,497.613734,497.613734,200.959084
linux,3072,hybrid,decrypt,104857600,15,1,497.292643,497.292643,201.088839
linux,3072,hybrid,decrypt,104857600,16,1,496.310519,496.310519,201.486763
linux,3072,hybrid,decrypt,104857600,17,1,497.585657,497.585657,200.970423
linux,3072,hybrid,decrypt,104857600,18,1,520.835748,520.835748,191.999110
linux,3072,hybrid,decrypt,104857600,19,1,545.385980,545.385980,183.356382
linux,3072,hybrid,decrypt,104857600,20,1,505.195634,505.195634,197.943120
linux,3072,hybrid,decrypt,104857600,21,1,500.341153,500.341153,199.863632
linux,3072,hybrid,decrypt,104857600,22,1,502.401745,502.401745,199.043895
linux,3072,hybrid,decrypt,104857600,23,1,540.420174,540.420174,185.041205
linux,3072,hybrid,decrypt,104857600,24,1,508.245908,508.245908,196.755150
linux,3072,hybrid,decrypt,104857600,25,1,527.230368,527.230368,189.670410
linux,3072,hybrid,decrypt,104857600,26,1,512.269903,512.269903,195.209594
linux,3072,hybrid,decrypt,104857600,27,1,498.367459,498.367459,200.655156
linux,3072,hybrid,decrypt,104857600,28,1,523.723222,523.723222,190.940550
linux,3072,hybrid,decrypt,104857600,29,1,532.631481,532.631481,187.747070
linux,3072,hybrid,decrypt,104857600,30,1,521.898341,521.898341,191.608197
linux,4096,rsa-oaep,encrypt,32,1,1,0.074374,0.074374,0.410326
linux,4096,rsa-oaep,encrypt,32,2,1,0.072420,0.072420,0.421397
linux,4096,rsa-oaep,encrypt,32,3,1,0.069505,0.069505,0.439070
linux,4096,rsa-oaep,encrypt,32,4,1,0.079643,0.079643,0.383180
linux,4096,rsa-oaep,encrypt,32,5,1,0.069806,0.069806,0.437177
linux,4096,rsa-oaep,encrypt,32,6,1,0.073442,0.073442,0.415533
linux,4096,rsa-oaep,encrypt,32,7,1,0.096514,0.096514,0.316198
linux,4096,rsa-oaep,encrypt,32,8,1,0.077270,0.077270,0.394947
linux,4096,rsa-oaep,encrypt,32,9,1,0.069866,0.069866,0.436802
linux,4096,rsa-oaep,encrypt,32,10,1,0.069405,0.069405,0.439703
linux,4096,rsa-oaep,encrypt,32,11,1,0.069476,0.069476,0.439254
linux,4096,rsa-oaep,encrypt,32,12,1,0.070738,0.070738,0.431417
linux,4096,rsa-oaep,encrypt,32,13,1,0.070116,0.070116,0.435244
linux,4096,rsa-oaep,encrypt,32,14,1,0.069055,0.069055,0.441931
linux,4096,rsa-oaep,encrypt,32,15,1,0.070247,0.070247,0.434432
linux,4096,rsa-oaep,encrypt,32,16,1,0.093509,0.093509,0.326360
linux,4096,rsa-oaep,encrypt,32,17,1,0.124745,0.124745,0.244640
linux,4096,rsa-oaep,encrypt,32,18,1,0.101032,0.101032,0.302059
linux,4096,rsa-oaep,encrypt,32,19,1,0.110329,0.110329,0.276605
linux,4096,rsa-oaep,encrypt,32,20,1,0.074254,0.074254,0.410989
linux,4096,rsa-oaep,encrypt,32,21,1,0.070307,0.070307,0.434062
