platform,rsa_bits,family,operation,payload_bytes,run_index,ops,total_ms,ms_per_op,throughput_mib_s
linux,3072,rsa-oaep,encrypt,32,1,10,0.665922,0.066592,0.458276
linux,3072,rsa-oaep,encrypt,32,2,10,0.660562,0.066056,0.461994
linux,3072,rsa-oaep,encrypt,32,3,10,0.670960,0.067096,0.454835
linux,3072,rsa-oaep,encrypt,32,4,10,0.675608,0.067561,0.451705
linux,3072,rsa-oaep,encrypt,32,5,10,0.619530,0.061953,0.492592
linux,3072,rsa-oaep,encrypt,32,6,10,0.619840,0.061984,0.492346
linux,3072,rsa-oaep,encrypt,32,7,10,0.699500,0.069950,0.436277
linux,3072,rsa-oaep,encrypt,32,8,10,0.651527,0.065153,0.468401
linux,3072,rsa-oaep,encrypt,32,9,10,0.662234,0.066223,0.460828
linux,3072,rsa-oaep,encrypt,32,10,10,0.622475,0.062247,0.490262
linux,3072,rsa-oaep,decrypt,32,1,10,579.704297,57.970430,0.000526
linux,3072,rsa-oaep,decrypt,32,2,10,557.722443,55.772244,0.000547
linux,3072,rsa-oaep,decrypt,32,3,10,541.852338,54.185234,0.000563
linux,3072,rsa-oaep,decrypt,32,4,10,568.971618,56.897162,0.000536
linux,3072,rsa-oaep,decrypt,32,5,10,542.925388,54.292539,0.000562
linux,3072,rsa-oaep,decrypt,32,6,10,536.119521,53.611952,0.000569
linux,3072,rsa-oaep,decrypt,32,7,10,544.766672,54.476667,0.000560
linux,3072,rsa-oaep,decrypt,32,8,10,543.503729,54.350373,0.000561
linux,3072,rsa-oaep,decrypt,32,9,10,552.993389,55.299339,0.000552
linux,3072,rsa-oaep,decrypt,32,10,10,552.995927,55.299593,0.000552
linux,3072,rsa-oaep,encrypt,190,1,10,0.686248,0.068625,2.640417
linux,3072,rsa-oaep,encrypt,190,2,10,0.643944,0.064394,2.813880
linux,3072,rsa-oaep,encrypt,190,3,10,0.631040,0.063104,2.871421
linux,3072,rsa-oaep,encrypt,190,4,10,0.638915,0.063892,2.836029
linux,3072,rsa-oaep,encrypt,190,5,10,0.646938,0.064694,2.800858
linux,3072,rsa-oaep,encrypt,190,6,10,0.640367,0.064037,2.829598
linux,3072,rsa-oaep,encrypt,190,7,10,0.641429,0.064143,2.824913
linux,3072,rsa-oaep,encrypt,190,8,10,0.633485,0.063349,2.860338
linux,3072,rsa-oaep,encrypt,190,9,10,0.637121,0.063712,2.844014
linux,3072,rsa-oaep,encrypt,190,10,10,0.635599,0.063560,2.850824
linux,3072,rsa-oaep,decrypt,190,1,10,566.494448,56.649445,0.003199
linux,3072,rsa-oaep,decrypt,190,2,10,568.423425,56.842342,0.003188
linux,3072,rsa-oaep,decrypt,190,3,10,547.811050,54.781105,0.003308
linux,3072,rsa-oaep,decrypt,190,4,10,567.912642,56.791264,0.003191
linux,3072,rsa-oaep,decrypt,190,5,10,565.505455,56.550545,0.003204
linux,3072,rsa-oaep,decrypt,190,6,10,573.174061,57.317406,0.003161
linux,3072,rsa-oaep,decrypt,190,7,10,564.308768,56.430877,0.003211
linux,3072,rsa-oaep,decrypt,190,8,10,554.045991,55.404599,0.003270
