platform,rsa_bits,family,operation,payload_bytes,run_index,ops,total_ms,ms_per_op,throughput_mib_s
linux,3072,rsa-oaep,encrypt,32,1,10,0.690452,0.069045,0.441994
linux,3072,rsa-oaep,encrypt,32,2,10,0.748360,0.074836,0.407793
linux,3072,rsa-oaep,encrypt,32,3,10,0.687967,0.068797,0.443591
linux,3072,rsa-oaep,decrypt,32,1,10,546.900160,54.690016,0.000558
linux,3072,rsa-oaep,decrypt,32,2,10,558.391655,55.839166,0.000547
linux,3072,rsa-oaep,decrypt,32,3,10,539.662043,53.966204,0.000565
linux,3072,rsa-oaep,encrypt,128,1,10,0.620581,0.062058,1.967033
linux,3072,rsa-oaep,encrypt,128,2,10,0.610212,0.061021,2.000457
linux,3072,rsa-oaep,encrypt,128,3,10,0.630570,0.063057,1.935873
linux,3072,rsa-oaep,decrypt,128,1,10,537.495730,53.749573,0.002271
linux,3072,rsa-oaep,decrypt,128,2,10,538.037949,53.803795,0.002269
linux,3072,rsa-oaep,decrypt,128,3,10,539.757124,53.975712,0.002262
linux,3072,rsa-oaep,encrypt,318,1,10,0.622023,0.062202,4.875518
linux,3072,rsa-oaep,encrypt,318,2,10,0.617555,0.061755,4.910792
linux,3072,rsa-oaep,encrypt,318,3,10,0.614630,0.061463,4.934163
linux,3072,rsa-oaep,decrypt,318,1,10,538.451979,53.845198,0.005632
linux,3072,rsa-oaep,decrypt,318,2,10,538.036259,53.803626,0.005637
linux,3072,rsa-oaep,decrypt,318,3,10,539.368648,53.936865,0.005623
linux,3072,hybrid,encrypt,1024,1,10,0.955277,0.095528,10.222820
linux,3072,hybrid,encrypt,1024,2,10,0.964254,0.096425,10.127648
linux,3072,hybrid,encrypt,1024,3,10,0.924609,0.092461,10.561897
linux,3072,hybrid,decrypt,1024,1,10,1041.251406,104.125141,0.009379
linux,3072,hybrid,decrypt,1024,2,10,1041.455218,104.145522,0.009377
linux,3072,hybrid,decrypt,1024,3,10,1048.201055,104.820105,0.009317
linux,3072,hybrid,encrypt,16384,1,10,1.142206,0.114221,136.796690
linux,3072,hybrid,encrypt,16384,2,10,1.108614,0.110861,140.941752
linux,3072,hybrid,encrypt,16384,3,10,1.167153,0.116715,133.872766
linux,3072,hybrid,decrypt,16384,1,10,1048.723773,104.872377,0.148991
linux,3072,hybrid,decrypt,16384,2,10,1055.342973,105.534297,0.148056
linux,3072,hybrid,decrypt,16384,3,10,1044.293344,104.429334,0.149623
