platform,rsa_bits,family,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
linux,3072,rsa-oaep,encrypt,32,3,10,0.070893,0.069045,0.003417,0.003867,0.431126,0.441994,0.020223,0.022884
linux,3072,rsa-oaep,decrypt,32,3,10,54.831795,54.690016,0.944496,1.068797,0.000557,0.000558,0.000010,0.000011
linux,3072,rsa-oaep,encrypt,128,3,10,0.062045,0.062058,0.001018,0.001152,1.967788,1.967033,0.032299,0.036550
linux,3072,rsa-oaep,decrypt,128,3,10,53.843027,53.803795,0.118064,0.133602,0.002267,0.002269,0.000005,0.000006
linux,3072,rsa-oaep,encrypt,318,3,10,0.061807,0.061755,0.000372,0.000421,4.906824,4.910792,0.029523,0.033408
linux,3072,rsa-oaep,decrypt,318,3,10,53.861896,53.845198,0.068171,0.077143,0.005630,0.005632,0.000007,0.000008
linux,3072,hybrid,encrypt,1024,3,10,0.094805,0.095528,0.002079,0.002352,10.304122,10.222820,0.228255,0.258295
linux,3072,hybrid,decrypt,1024,3,10,104.363589,104.145522,0.395486,0.447534,0.009357,0.009377,0.000035,0.000040
linux,3072,hybrid,encrypt,16384,3,10,0.113932,0.114221,0.002938,0.003324,137.203736,136.796690,3.552029,4.019499
linux,3072,hybrid,decrypt,16384,3,10,104.945336,104.872377,0.556083,0.629267,0.148890,0.148991,0.000788,0.000892
linux,3072,hybrid,encrypt,1048576,3,10,1.422342,1.394831,0.052830,0.059783,703.699688,716.932732,25.596981,28.965710
linux,3072,hybrid,decrypt,1048576,3,10,106.286452,106.494630,0.452962,0.512575,9.408651,9.390145,0.040190,0.045479
linux,4096,rsa-oaep,encrypt,32,3,10,0.071373,0.071349,0.002184,0.002472,0.427845,0.427726,0.013092,0.014815
linux,4096,rsa-oaep,decrypt,32,3,10,74.117556,74.134307,0.985875,1.115623,0.000412,0.000412,0.000005,0.000006
linux,4096,rsa-oaep,encrypt,128,3,10,0.069718,0.069628,0.001384,0.001566,1.751364,1.753171,0.034702,0.039268
linux,4096,rsa-oaep,decrypt,128,3,10,72.303804,72.383987,0.599964,0.678924,0.001688,0.001686,0.000014,0.000016
linux,4096,rsa-oaep,encrypt,318,3,10,0.066685,0.066969,0.001232,0.001394,4.548814,4.528476,0.084532,0.095657
linux,4096,rsa-oaep,decrypt,318,3,10,71.225803,71.185871,0.138775,0.157039,0.004258,0.004260,0.000008,0.000009
linux,4096,hybrid,encrypt,1024,3,10,0.105128,0.105305,0.000321,0.000363,9.289329,9.273657,0.028372,0.032106
linux,4096,hybrid,decrypt,1024,3,10,138.206235,138.100325,0.259978,0.294192,0.007066,0.007071,0.000013,0.000015
linux,4096,hybrid,encrypt,16384,3,10,0.121918,0.121910,0.002939,0.003325,128.209569,128.168321,3.090743,3.497505
linux,4096,hybrid,decrypt,16384,3,10,139.643536,139.458969,1.241659,1.405069,0.111898,0.112040,0.000993,0.001124
linux,4096,hybrid,encrypt,1048576,3,10,1.388572,1.379749,0.043193,0.048877,720.625160,724.769663,22.220842,25.145249
linux,4096,hybrid,decrypt,1048576,3,10,141.643393,141.189921,1.228616,1.390310,7.060336,7.082659,0.060989,0.069016
