platform,rsa_bits,family,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
linux,3072,rsa-oaep,encrypt,32,10,10,0.065482,0.066140,0.002672,0.001656,0.466752,0.461411,0.019163,0.011877
linux,3072,rsa-oaep,decrypt,32,10,10,55.215553,54.888003,1.354855,0.839748,0.000553,0.000556,0.000013,0.000008
linux,3072,rsa-oaep,encrypt,190,10,10,0.064351,0.063964,0.001575,0.000976,2.817229,2.832813,0.065615,0.040669
linux,3072,rsa-oaep,decrypt,190,10,10,56.036330,56.490711,0.983745,0.609732,0.003234,0.003208,0.000057,0.000035
linux,3072,rsa-oaep,encrypt,318,10,10,0.064384,0.063929,0.002314,0.001434,4.715578,4.743866,0.163466,0.101318
linux,3072,rsa-oaep,decrypt,318,10,10,55.239542,54.948127,1.022060,0.633479,0.005492,0.005519,0.000101,0.000063
linux,3072,hybrid,encrypt,1024,10,10,0.101989,0.101323,0.003788,0.002348,9.586910,9.638643,0.350119,0.217006
linux,3072,hybrid,decrypt,1024,10,10,107.684628,106.723594,1.982282,1.228631,0.009071,0.009150,0.000163,0.000101
linux,3072,hybrid,encrypt,16384,10,10,0.118247,0.116792,0.003850,0.002386,132.256377,133.784892,4.017754,2.490230
linux,3072,hybrid,decrypt,16384,10,10,108.172833,108.045517,1.928397,1.195233,0.144486,0.144615,0.002563,0.001588
linux,3072,hybrid,encrypt,262144,10,10,0.575238,0.560424,0.043066,0.026693,436.739886,446.106526,31.770522,19.691574
linux,3072,hybrid,decrypt,262144,10,10,107.958684,107.844303,2.272445,1.408476,2.316598,2.318158,0.047373,0.029362
linux,3072,hybrid,encrypt,1048576,10,10,1.584198,1.598556,0.100114,0.062052,633.505309,625.626138,39.987249,24.784354
linux,3072,hybrid,decrypt,1048576,10,10,107.997662,107.688595,1.229463,0.762029,9.260536,9.286055,0.105009,0.065085
linux,4096,rsa-oaep,encrypt,32,10,10,0.072038,0.070391,0.006073,0.003764,0.425924,0.433548,0.030244,0.018746
linux,4096,rsa-oaep,decrypt,32,10,10,71.550802,71.317747,0.654671,0.405769,0.000427,0.000428,0.000004,0.000002
linux,4096,rsa-oaep,encrypt,190,10,10,0.068824,0.067438,0.002883,0.001787,2.636658,2.686892,0.102949,0.063808
linux,4096,rsa-oaep,decrypt,190,10,10,71.251386,71.131713,0.469148,0.290781,0.002543,0.002547,0.000017,0.000010
linux,4096,rsa-oaep,encrypt,318,10,10,0.068662,0.068834,0.001233,0.000764,4.418127,4.405859,0.079340,0.049175
linux,4096,rsa-oaep,decrypt,318,10,10,70.971388,70.910094,0.275226,0.170587,0.004273,0.004277,0.000017,0.000010
linux,4096,hybrid,encrypt,1024,10,10,0.104075,0.103857,0.000634,0.000393,9.383538,9.402993,0.056850,0.035236
linux,4096,hybrid,decrypt,1024,10,10,138.170311,137.056869,2.311088,1.432427,0.007070,0.007125,0.000116,0.000072
linux,4096,hybrid,encrypt,16384,10,10,0.145541,0.143350,0.009561,0.005926,107.746857,108.999216,6.587150,4.082758
linux,4096,hybrid,decrypt,16384,10,10,141.095961,140.538103,1.650071,1.022725,0.110754,0.111180,0.001287,0.000798
linux,4096,hybrid,encrypt,262144,10,10,0.556124,0.560579,0.023416,0.014514,450.279478,445.967166,19.534015,12.107308
linux,4096,hybrid,decrypt,262144,10,10,141.103430,140.631279,1.617855,1.002757,1.771959,1.777699,0.020226,0.012536
linux,4096,hybrid,encrypt,1048576,10,10,1.443388,1.419498,0.047519,0.029453,693.477646,704.474813,22.383744,13.873588
linux,4096,hybrid,decrypt,1048576,10,10,140.865925,140.260505,1.423727,0.882435,7.099598,7.129646,0.071309,0.044198
