platform,rsa_bits,family,operation,payload_bytes,run_index,ops,total_ms,ms_per_op,throughput_mib_s
windows-mingw64,3072,rsa-oaep,encrypt,32,1,1,0.334500,0.334500,0.091233
windows-mingw64,3072,rsa-oaep,encrypt,32,2,1,0.310200,0.310200,0.098380
windows-mingw64,3072,rsa-oaep,encrypt,32,3,1,0.315400,0.315400,0.096758
windows-mingw64,3072,rsa-oaep,encrypt,32,4,1,0.302300,0.302300,0.100951
windows-mingw64,3072,rsa-oaep,encrypt,32,5,1,0.299700,0.299700,0.101827
windows-mingw64,3072,rsa-oaep,encrypt,32,6,1,0.302000,0.302000,0.101052
windows-mingw64,3072,rsa-oaep,encrypt,32,7,1,0.324800,0.324800,0.093958
windows-mingw64,3072,rsa-oaep,encrypt,32,8,1,0.302400,0.302400,0.100918
windows-mingw64,3072,rsa-oaep,encrypt,32,9,1,0.296700,0.296700,0.102857
windows-mingw64,3072,rsa-oaep,encrypt,32,10,1,0.299000,0.299000,0.102065
windows-mingw64,3072,rsa-oaep,encrypt,32,11,1,0.322700,0.322700,0.094570
windows-mingw64,3072,rsa-oaep,encrypt,32,12,1,0.315300,0.315300,0.096789
windows-mingw64,3072,rsa-oaep,encrypt,32,13,1,0.298800,0.298800,0.102134
windows-mingw64,3072,rsa-oaep,encrypt,32,14,1,0.315600,0.315600,0.096697
windows-mingw64,3072,rsa-oaep,encrypt,32,15,1,0.296700,0.296700,0.102857
windows-mingw64,3072,rsa-oaep,encrypt,32,16,1,0.296200,0.296200,0.103030
windows-mingw64,3072,rsa-oaep,encrypt,32,17,1,0.294400,0.294400,0.103660
windows-mingw64,3072,rsa-oaep,encrypt,32,18,1,0.294600,0.294600,0.103590
windows-mingw64,3072,rsa-oaep,encrypt,32,19,1,0.294300,0.294300,0.103695
windows-mingw64,3072,rsa-oaep,encrypt,32,20,1,0.307900,0.307900,0.099115
windows-mingw64,3072,rsa-oaep,encrypt,32,21,1,0.296600,0.296600,0.102891
windows-mingw64,3072,rsa-oaep,encrypt,32,22,1,0.296900,0.296900,0.102787
windows-mingw64,3072,rsa-oaep,encrypt,32,23,1,0.298100,0.298100,0.102374
windows-mingw64,3072,rsa-oaep,encrypt,32,24,1,0.341800,0.341800,0.089285
windows-mingw64,3072,rsa-oaep,encrypt,32,25,1,0.309100,0.309100,0.098730
windows-mingw64,3072,rsa-oaep,encrypt,32,26,1,0.306300,0.306300,0.099633
windows-mingw64,3072,rsa-oaep,encrypt,32,27,1,0.318800,0.318800,0.095726
windows-mingw64,3072,rsa-oaep,encrypt,32,28,1,0.320900,0.320900,0.095100
windows-mingw64,3072,rsa-oaep,encrypt,32,29,1,0.311400,0.311400,0.098001
windows-mingw64,3072,rsa-oaep,encrypt,32,30,1,0.301800,0.301800,0.101119
windows-mingw64,3072,rsa-oaep,decrypt,32,1,1,101.950600,101.950600,0.000299
windows-mingw64,3072,rsa-oaep,decrypt,32,2,1,107.824600,107.824600,0.000283
windows-mingw64,3072,rsa-oaep,decrypt,32,3,1,101.898700,101.898700,0.000299
windows-mingw64,3072,rsa-oaep,decrypt,32,4,1,102.925900,102.925900,0.000297
windows-mingw64,3072,rsa-oaep,decrypt,32,5,1,106.088700,106.088700,0.000288
windows-mingw64,3072,rsa-oaep,decrypt,32,6,1,105.513200,105.513200,0.000289
windows-mingw64,3072,rsa-oaep,decrypt,32,7,1,116.410300,116.410300,0.000262
windows-mingw64,3072,rsa-oaep,decrypt,32,8,1,109.579000,109.579000,0.000278
windows-mingw64,3072,rsa-oaep,decrypt,32,9,1,108.445600,108.445600,0.000281
windows-mingw64,3072,rsa-oaep,decrypt,32,10,1,108.007800,108.007800,0.000283
