platform,rsa_bits,family,operation,payload_bytes,run_index,ops,total_ms,ms_per_op,throughput_mib_s
windows-mingw64,3072,rsa-oaep,encrypt,32,1,10,4.028500,0.402850,0.075754
windows-mingw64,3072,rsa-oaep,encrypt,32,2,10,3.896600,0.389660,0.078318
windows-mingw64,3072,rsa-oaep,encrypt,32,3,10,3.833500,0.383350,0.079608
windows-mingw64,3072,rsa-oaep,encrypt,32,4,10,6.078000,0.607800,0.050210
windows-mingw64,3072,rsa-oaep,encrypt,32,5,10,4.766600,0.476660,0.064024
windows-mingw64,3072,rsa-oaep,encrypt,32,6,10,4.051400,0.405140,0.075326
windows-mingw64,3072,rsa-oaep,encrypt,32,7,10,4.676100,0.467610,0.065263
windows-mingw64,3072,rsa-oaep,encrypt,32,8,10,3.772500,0.377250,0.080895
windows-mingw64,3072,rsa-oaep,encrypt,32,9,10,3.776200,0.377620,0.080816
windows-mingw64,3072,rsa-oaep,encrypt,32,10,10,4.270400,0.427040,0.071463
windows-mingw64,3072,rsa-oaep,encrypt,32,11,10,4.010000,0.401000,0.076104
windows-mingw64,3072,rsa-oaep,encrypt,32,12,10,4.149300,0.414930,0.073549
windows-mingw64,3072,rsa-oaep,encrypt,32,13,10,3.745200,0.374520,0.081485
windows-mingw64,3072,rsa-oaep,encrypt,32,14,10,3.738400,0.373840,0.081633
windows-mingw64,3072,rsa-oaep,encrypt,32,15,10,3.867600,0.386760,0.078906
windows-mingw64,3072,rsa-oaep,encrypt,32,16,10,4.093000,0.409300,0.074560
windows-mingw64,3072,rsa-oaep,encrypt,32,17,10,3.721100,0.372110,0.082012
windows-mingw64,3072,rsa-oaep,encrypt,32,18,10,4.916300,0.491630,0.062074
windows-mingw64,3072,rsa-oaep,encrypt,32,19,10,3.927900,0.392790,0.077694
windows-mingw64,3072,rsa-oaep,encrypt,32,20,10,3.858500,0.385850,0.079092
windows-mingw64,3072,rsa-oaep,encrypt,32,21,10,3.783800,0.378380,0.080653
