platform,rsa_bits,family,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
windows-mingw64,3072,rsa-oaep,encrypt,32,30,10,0.406359,0.386745,0.050086,0.017923,0.075973,0.078909,0.007417,0.002654
windows-mingw64,3072,rsa-oaep,decrypt,32,30,10,110.281980,105.271160,11.022556,3.944371,0.000279,0.000290,0.000025,0.000009
windows-mingw64,3072,rsa-oaep,encrypt,190,30,10,0.613714,0.566600,0.134982,0.048303,0.306843,0.319815,0.055718,0.019938
windows-mingw64,3072,rsa-oaep,decrypt,190,30,10,110.126185,103.043235,11.349097,4.061222,0.001661,0.001758,0.000159,0.000057
windows-mingw64,3072,rsa-oaep,encrypt,318,30,10,0.411691,0.380885,0.086431,0.030929,0.755666,0.796222,0.097281,0.034811
windows-mingw64,3072,rsa-oaep,decrypt,318,30,10,103.904887,103.018595,2.514116,0.899665,0.002920,0.002944,0.000069,0.000025
windows-mingw64,3072,hybrid,encrypt,32,30,10,0.874678,0.855120,0.079749,0.028538,0.035102,0.035688,0.002421,0.000866
windows-mingw64,3072,hybrid,decrypt,32,30,10,202.762940,201.459375,5.306667,1.898966,0.000151,0.000151,0.000004,0.000001
windows-mingw64,3072,hybrid,encrypt,128,30,10,0.883289,0.859085,0.086170,0.030836,0.139224,0.142093,0.010956,0.003921
windows-mingw64,3072,hybrid,decrypt,128,30,10,198.082132,197.930315,1.723484,0.616741,0.000616,0.000617,0.000005,0.000002
windows-mingw64,3072,hybrid,encrypt,318,30,10,0.875718,0.849825,0.090413,0.032354,0.348949,0.356860,0.026805,0.009592
windows-mingw64,3072,hybrid,decrypt,318,30,10,198.420548,197.927290,2.405573,0.860823,0.001529,0.001532,0.000018,0.000007
windows-mingw64,3072,hybrid,encrypt,446,30,10,0.890465,0.862900,0.111701,0.039972,0.483090,0.492919,0.045119,0.016146
windows-mingw64,3072,hybrid,decrypt,446,30,10,198.168109,197.598130,2.679072,0.958694,0.002147,0.002153,0.000028,0.000010
windows-mingw64,3072,hybrid,encrypt,1024,30,10,0.909586,0.871015,0.122731,0.043919,1.087880,1.121244,0.110640,0.039592
windows-mingw64,3072,hybrid,decrypt,1024,30,10,204.296182,198.473695,22.056513,7.892822,0.004819,0.004920,0.000373,0.000134
windows-mingw64,3072,hybrid,encrypt,16384,30,10,1.426429,1.390805,0.242078,0.086627,11.253664,11.236202,1.848600,0.661513
windows-mingw64,3072,hybrid,decrypt,16384,30,10,269.750392,268.543220,15.145295,5.419674,0.058094,0.058184,0.003141,0.001124
windows-mingw64,3072,hybrid,encrypt,1048576,30,10,5.983207,5.606090,1.656612,0.592811,175.427936,178.473414,33.517768,11.994179
windows-mingw64,3072,hybrid,decrypt,1048576,30,10,262.059678,262.870175,13.042558,4.667219,3.825537,3.804167,0.200770,0.071845
windows-mingw64,4096,rsa-oaep,encrypt,32,30,10,0.552831,0.524245,0.096060,0.034375,0.056432,0.058214,0.007623,0.002728
windows-mingw64,4096,rsa-oaep,decrypt,32,30,10,178.516386,176.649055,7.209981,2.580058,0.000171,0.000173,0.000007,0.000002
windows-mingw64,4096,rsa-oaep,encrypt,190,30,10,0.628839,0.622750,0.117059,0.041889,0.297843,0.290977,0.054805,0.019612
windows-mingw64,4096,rsa-oaep,decrypt,190,30,10,168.466878,172.314525,20.832548,7.454832,0.001092,0.001052,0.000137,0.000049
windows-mingw64,4096,rsa-oaep,encrypt,318,30,10,0.523609,0.502890,0.062239,0.022272,0.585704,0.603053,0.057136,0.020446
windows-mingw64,4096,rsa-oaep,decrypt,318,30,10,165.878544,174.426090,18.854385,6.746955,0.001853,0.001739,0.000225,0.000081
windows-mingw64,4096,hybrid,encrypt,32,30,10,0.919177,0.895055,0.082591,0.029555,0.033417,0.034096,0.002506,0.000897
windows-mingw64,4096,hybrid,decrypt,32,30,10,330.280656,332.432175,22.055473,7.892450,0.000093,0.000092,0.000007,0.000002
windows-mingw64,4096,hybrid,encrypt,128,30,10,1.324830,1.198225,0.270843,0.096920,0.095596,0.101945,0.017618,0.006304
windows-mingw64,4096,hybrid,decrypt,128,30,10,300.071524,283.424715,31.854198,11.398878,0.000411,0.000431,0.000041,0.000015
windows-mingw64,4096,hybrid,encrypt,318,30,10,0.980054,0.954550,0.115386,0.041290,0.313241,0.317711,0.033596,0.012022
windows-mingw64,4096,hybrid,decrypt,318,30,10,340.921821,341.004685,18.788647,6.723431,0.000893,0.000889,0.000056,0.000020
windows-mingw64,4096,hybrid,encrypt,446,30,10,1.296120,1.141260,0.317970,0.113784,0.343945,0.372693,0.067160,0.024033
windows-mingw64,4096,hybrid,decrypt,446,30,10,288.434835,269.950600,35.367119,12.655961,0.001494,0.001576,0.000160,0.000057
windows-mingw64,4096,hybrid,encrypt,1024,30,10,0.924620,0.900550,0.109480,0.039177,1.066344,1.084407,0.090287,0.032309
windows-mingw64,4096,hybrid,decrypt,1024,30,10,322.510546,326.006760,22.375198,8.006862,0.003044,0.002996,0.000235,0.000084
windows-mingw64,4096,hybrid,encrypt,16384,30,10,1.222339,1.159495,0.138980,0.049733,12.925170,13.475764,1.303726,0.466532
windows-mingw64,4096,hybrid,decrypt,16384,30,10,313.474682,325.476875,27.583124,9.870494,0.050256,0.048007,0.004840,0.001732
windows-mingw64,4096,hybrid,encrypt,1048576,30,10,3.485030,3.326880,0.321997,0.115225,289.053218,300.582147,23.717016,8.487025
windows-mingw64,4096,hybrid,decrypt,1048576,30,10,314.622187,328.135600,29.724750,10.636865,3.208346,3.047521,0.328233,0.117457
