platform,algo,input_size_bytes,mode,run,ops,warmup_ms,total_ms,latency_ms_per_op,throughput_mib_s,digest_size_bytes,streaming,compiler,build_type
ubuntu24.04-gcc,sha256,1073741824,hash,1,1,500,556.364604,556.364604,1840.519675,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1073741824,hash,2,1,500,554.196878,554.196878,1847.718817,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1073741824,hash,3,1,500,553.976527,553.976527,1848.453770,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1073741824,hash,1,1,500,1102.551503,1102.551503,928.754799,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1073741824,hash,2,1,500,1102.015243,1102.015243,929.206748,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1073741824,hash,3,1,500,1102.009681,1102.009681,929.211438,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1073741824,hash,1,1,500,1945.647908,1945.647908,526.302830,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1073741824,hash,2,1,500,1945.225684,1945.225684,526.417067,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1073741824,hash,3,1,500,1946.420539,1946.420539,526.093914,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1073741824,hash,1,1,500,3411.507706,3411.507706,300.160541,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1073741824,hash,2,1,500,3407.213007,3407.213007,300.538886,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1073741824,hash,3,1,500,3407.926874,3407.926874,300.475931,64,true,gcc-13.3,Release
