platform,algo,input_size_bytes,mode,run,ops,warmup_ms,total_ms,latency_ms_per_op,throughput_mib_s,digest_size_bytes,streaming,compiler,build_type
ubuntu24.04-gcc,sha256,1048576,hash,1,100,1000,52.188056,0.521881,1916.147250,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,2,100,1000,52.149976,0.521500,1917.546424,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,3,100,1000,51.960625,0.519606,1924.534203,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,4,100,1000,51.918666,0.519187,1926.089549,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,5,100,1000,52.316589,0.523166,1911.439601,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,6,100,1000,52.730364,0.527304,1896.440540,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,7,100,1000,53.162465,0.531625,1881.026397,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,8,100,1000,52.009051,0.520091,1922.742255,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,9,100,1000,53.068571,0.530686,1884.354489,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,10,100,1000,52.262348,0.522623,1913.423408,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,11,100,1000,51.980928,0.519809,1923.782507,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,12,100,1000,52.566929,0.525669,1902.336733,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,13,100,1000,52.136163,0.521362,1918.054461,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,14,100,1000,51.934706,0.519347,1925.494678,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,15,100,1000,51.939047,0.519390,1925.333747,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,16,100,1000,52.304496,0.523045,1911.881533,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,17,100,1000,51.971801,0.519718,1924.120351,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,18,100,1000,52.308757,0.523088,1911.725794,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,19,100,1000,51.938576,0.519386,1925.351207,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,20,100,1000,52.256101,0.522561,1913.652149,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,21,100,1000,51.879955,0.518800,1927.526730,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,22,100,1000,51.911156,0.519112,1926.368197,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,23,100,1000,51.935137,0.519351,1925.478699,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,24,100,1000,52.202824,0.522028,1915.605179,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,25,100,1000,51.922033,0.519220,1925.964648,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,26,100,1000,51.990018,0.519900,1923.446151,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,27,100,1000,51.950597,0.519506,1924.905695,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,28,100,1000,52.255540,0.522555,1913.672694,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,29,100,1000,51.947880,0.519479,1925.006372,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha256,1048576,hash,30,100,1000,51.947940,0.519479,1925.004148,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,1,100,1000,106.489222,1.064892,939.062171,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,2,100,1000,106.250700,1.062507,941.170270,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,3,100,1000,106.468107,1.064681,939.248408,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,4,100,1000,106.223842,1.062238,941.408239,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,5,100,1000,106.373709,1.063737,940.081914,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,6,100,1000,106.119189,1.061192,942.336640,64,true,gcc-13.3,Release
