platform,algo,input_size_bytes,mode,run,ops,warmup_ms,total_ms,latency_ms_per_op,throughput_mib_s,digest_size_bytes,streaming,compiler,build_type
windows11-mingw64,sha256,104857600,hash,1,1,1000,120.692200,120.692200,828.553958,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,2,1,1000,122.404400,122.404400,816.964096,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,3,1,1000,113.886000,113.886000,878.071054,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,4,1,1000,113.374400,113.374400,882.033334,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,5,1,1000,115.334200,115.334200,867.045508,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,6,1,1000,116.843000,116.843000,855.849302,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,7,1,1000,110.716400,110.716400,903.208558,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,8,1,1000,112.679600,112.679600,887.472089,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,9,1,1000,110.465700,110.465700,905.258374,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,10,1,1000,111.128100,111.128100,899.862411,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,11,1,1000,112.118700,112.118700,891.911876,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,12,1,1000,113.218300,113.218300,883.249439,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,13,1,1000,113.360100,113.360100,882.144599,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,14,1,1000,111.723100,111.723100,895.070044,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,15,1,1000,110.054200,110.054200,908.643196,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,16,1,1000,112.067100,112.067100,892.322546,32,true,gcc-16.1,Release
windows11-mingw64,sha256,104857600,hash,17,1,1000,111.860000,111.860000,893.974611,32,true,gcc-16.1,Release
