platform,algo,input_size_bytes,mode,run,ops,warmup_ms,total_ms,latency_ms_per_op,throughput_mib_s,digest_size_bytes,streaming,compiler,build_type
windows11-mingw64,sha256,1073741824,hash,1,1,500,2268.422700,2268.422700,451.414985,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1073741824,hash,2,1,500,2057.772300,2057.772300,497.625515,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1073741824,hash,3,1,500,1434.027500,1434.027500,714.072778,32,true,gcc-16.1,Release
windows11-mingw64,sha512,1073741824,hash,1,1,500,2664.945300,2664.945300,384.248037,64,true,gcc-16.1,Release
windows11-mingw64,sha512,1073741824,hash,2,1,500,3072.484500,3072.484500,333.280770,64,true,gcc-16.1,Release
windows11-mingw64,sha512,1073741824,hash,3,1,500,2860.069800,2860.069800,358.033220,64,true,gcc-16.1,Release
windows11-mingw64,sha3-256,1073741824,hash,1,1,500,5021.306800,5021.306800,203.930977,32,true,gcc-16.1,Release
windows11-mingw64,sha3-256,1073741824,hash,2,1,500,4737.591600,4737.591600,216.143578,32,true,gcc-16.1,Release
windows11-mingw64,sha3-256,1073741824,hash,3,1,500,4520.139700,4520.139700,226.541671,32,true,gcc-16.1,Release
windows11-mingw64,sha3-512,1073741824,hash,1,1,500,8038.311700,8038.311700,127.389934,64,true,gcc-16.1,Release
windows11-mingw64,sha3-512,1073741824,hash,2,1,500,8789.006800,8789.006800,116.509183,64,true,gcc-16.1,Release
windows11-mingw64,sha3-512,1073741824,hash,3,1,500,8335.808500,8335.808500,122.843513,64,true,gcc-16.1,Release
