platform,algo,input_size_bytes,mode,run,ops,warmup_ms,total_ms,latency_ms_per_op,throughput_mib_s,digest_size_bytes,streaming,compiler,build_type
windows11-mingw64,sha256,1048576,hash,1,100,1000,116.485800,1.164858,858.473737,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,2,100,1000,122.120000,1.221200,818.866689,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,3,100,1000,118.231800,1.182318,845.796139,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,4,100,1000,110.837400,1.108374,902.222535,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,5,100,1000,118.625400,1.186254,842.989781,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,6,100,1000,163.446000,1.634460,611.822865,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,7,100,1000,125.458100,1.254581,797.078865,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,8,100,1000,123.568300,1.235683,809.269044,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,9,100,1000,167.836100,1.678361,595.819374,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,10,100,1000,126.357000,1.263570,791.408470,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,11,100,1000,124.116100,1.241161,805.697246,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,12,100,1000,113.205300,1.132053,883.350868,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,13,100,1000,109.760700,1.097607,911.072907,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,14,100,1000,114.549700,1.145497,872.983517,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,15,100,1000,112.247000,1.122470,890.892407,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,16,100,1000,118.905800,1.189058,841.001869,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,17,100,1000,166.500600,1.665006,600.598436,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,18,100,1000,146.250000,1.462500,683.760684,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,19,100,1000,143.805300,1.438053,695.384662,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,20,100,1000,147.058600,1.470586,680.001034,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,21,100,1000,143.512400,1.435124,696.803900,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,22,100,1000,142.858700,1.428587,699.992370,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,23,100,1000,142.397000,1.423970,702.261986,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,24,100,1000,141.060100,1.410601,708.917688,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,25,100,1000,135.973600,1.359736,735.436879,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,26,100,1000,146.020900,1.460209,684.833472,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,27,100,1000,146.143000,1.461430,684.261306,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,28,100,1000,143.054900,1.430549,699.032330,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,29,100,1000,141.967200,1.419672,704.388056,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,30,100,1000,147.223100,1.472231,679.241233,32,true,gcc-16.1,Release
