platform,algorithm,operation,message_size,run,ops,latency_ms
ubuntu-linux,ecdsa-p256,keygen,na,1,1,1.181755
ubuntu-linux,ecdsa-p256,keygen,na,2,1,0.046007
ubuntu-linux,ecdsa-p256,keygen,na,3,1,0.038312
ubuntu-linux,ecdsa-p256,keygen,na,4,1,0.035276
ubuntu-linux,ecdsa-p256,keygen,na,5,1,0.034485
ubuntu-linux,ecdsa-p256,keygen,na,6,1,0.033854
ubuntu-linux,ecdsa-p256,keygen,na,7,1,0.033293
ubuntu-linux,ecdsa-p256,keygen,na,8,1,0.032020
ubuntu-linux,ecdsa-p256,keygen,na,9,1,0.033263
ubuntu-linux,ecdsa-p256,keygen,na,10,1,0.041808
ubuntu-linux,ecdsa-p256,keygen,na,11,1,0.034024
ubuntu-linux,ecdsa-p256,keygen,na,12,1,0.032611
ubuntu-linux,ecdsa-p256,keygen,na,13,1,0.032101
ubuntu-linux,ecdsa-p256,keygen,na,14,1,0.033553
ubuntu-linux,ecdsa-p256,keygen,na,15,1,0.032221
ubuntu-linux,ecdsa-p256,keygen,na,16,1,0.032050
ubuntu-linux,ecdsa-p256,keygen,na,17,1,0.031930
ubuntu-linux,ecdsa-p256,keygen,na,18,1,0.031930
ubuntu-linux,ecdsa-p256,keygen,na,19,1,0.032361
ubuntu-linux,ecdsa-p256,keygen,na,20,1,0.031760
ubuntu-linux,ecdsa-p256,keygen,na,21,1,0.031790
ubuntu-linux,ecdsa-p256,keygen,na,22,1,0.032912
ubuntu-linux,ecdsa-p256,keygen,na,23,1,0.072878
ubuntu-linux,ecdsa-p256,keygen,na,24,1,0.094628
ubuntu-linux,ecdsa-p256,keygen,na,25,1,0.072196
ubuntu-linux,ecdsa-p256,keygen,na,26,1,0.066185
ubuntu-linux,ecdsa-p256,keygen,na,27,1,0.066305
ubuntu-linux,ecdsa-p256,keygen,na,28,1,0.064692
ubuntu-linux,ecdsa-p256,keygen,na,29,1,0.067497
ubuntu-linux,ecdsa-p256,keygen,na,30,1,0.068890
ubuntu-linux,ecdsa-p256,sign,1KiB,1,1,0.373513
ubuntu-linux,ecdsa-p256,verify,1KiB,1,1,0.366591
ubuntu-linux,ecdsa-p256,sign,1KiB,2,1,0.458242
ubuntu-linux,ecdsa-p256,verify,1KiB,2,1,0.400374
ubuntu-linux,ecdsa-p256,sign,1KiB,3,1,0.407728
ubuntu-linux,ecdsa-p256,verify,1KiB,3,1,0.357874
ubuntu-linux,ecdsa-p256,sign,1KiB,4,1,0.402277
ubuntu-linux,ecdsa-p256,verify,1KiB,4,1,0.336273
ubuntu-linux,ecdsa-p256,sign,1KiB,5,1,0.345491
ubuntu-linux,ecdsa-p256,verify,1KiB,5,1,0.334039
ubuntu-linux,ecdsa-p256,sign,1KiB,6,1,0.336744
ubuntu-linux,ecdsa-p256,verify,1KiB,6,1,0.320043
ubuntu-linux,ecdsa-p256,sign,1KiB,7,1,0.364306
ubuntu-linux,ecdsa-p256,verify,1KiB,7,1,0.348466
ubuntu-linux,ecdsa-p256,sign,1KiB,8,1,0.354678
ubuntu-linux,ecdsa-p256,verify,1KiB,8,1,0.339169
ubuntu-linux,ecdsa-p256,sign,1KiB,9,1,0.399973
ubuntu-linux,ecdsa-p256,verify,1KiB,9,1,0.368273
ubuntu-linux,ecdsa-p256,sign,1KiB,10,1,0.378553
ubuntu-linux,ecdsa-p256,verify,1KiB,10,1,0.333638
ubuntu-linux,ecdsa-p256,sign,1KiB,11,1,0.364276
ubuntu-linux,ecdsa-p256,verify,1KiB,11,1,0.366651
ubuntu-linux,ecdsa-p256,sign,1KiB,12,1,0.369376
ubuntu-linux,ecdsa-p256,verify,1KiB,12,1,0.350510
ubuntu-linux,ecdsa-p256,sign,1KiB,13,1,0.354327
ubuntu-linux,ecdsa-p256,verify,1KiB,13,1,0.327797
ubuntu-linux,ecdsa-p256,sign,1KiB,14,1,0.350750
ubuntu-linux,ecdsa-p256,verify,1KiB,14,1,0.323249
ubuntu-linux,ecdsa-p256,sign,1KiB,15,1,0.341473
ubuntu-linux,ecdsa-p256,verify,1KiB,15,1,0.331003
ubuntu-linux,ecdsa-p256,sign,1KiB,16,1,0.339950
ubuntu-linux,ecdsa-p256,verify,1KiB,16,1,0.321475
ubuntu-linux,ecdsa-p256,sign,1KiB,17,1,0.349078
ubuntu-linux,ecdsa-p256,verify,1KiB,17,1,0.323089
ubuntu-linux,ecdsa-p256,sign,1KiB,18,1,0.359587
ubuntu-linux,ecdsa-p256,verify,1KiB,18,1,0.349338
ubuntu-linux,ecdsa-p256,sign,1KiB,19,1,0.348266
ubuntu-linux,ecdsa-p256,verify,1KiB,19,1,0.336634
ubuntu-linux,ecdsa-p256,sign,1KiB,20,1,0.346041
ubuntu-linux,ecdsa-p256,verify,1KiB,20,1,0.323198
ubuntu-linux,ecdsa-p256,sign,1KiB,21,1,0.342054
ubuntu-linux,ecdsa-p256,verify,1KiB,21,1,0.326525
ubuntu-linux,ecdsa-p256,sign,1KiB,22,1,0.357343
ubuntu-linux,ecdsa-p256,verify,1KiB,22,1,0.342455
ubuntu-linux,ecdsa-p256,sign,1KiB,23,1,0.349147
ubuntu-linux,ecdsa-p256,verify,1KiB,23,1,0.326836
ubuntu-linux,ecdsa-p256,sign,1KiB,24,1,0.348446
ubuntu-linux,ecdsa-p256,verify,1KiB,24,1,0.322758
ubuntu-linux,ecdsa-p256,sign,1KiB,25,1,0.338808
ubuntu-linux,ecdsa-p256,verify,1KiB,25,1,0.334119
ubuntu-linux,ecdsa-p256,sign,1KiB,26,1,0.335942
ubuntu-linux,ecdsa-p256,verify,1KiB,26,1,0.321816
ubuntu-linux,ecdsa-p256,sign,1KiB,27,1,0.349138
ubuntu-linux,ecdsa-p256,verify,1KiB,27,1,0.320243
ubuntu-linux,ecdsa-p256,sign,1KiB,28,1,0.365479
ubuntu-linux,ecdsa-p256,verify,1KiB,28,1,0.341714
ubuntu-linux,ecdsa-p256,sign,1KiB,29,1,0.341062
ubuntu-linux,ecdsa-p256,verify,1KiB,29,1,0.321124
ubuntu-linux,ecdsa-p256,sign,1KiB,30,1,0.347264
ubuntu-linux,ecdsa-p256,verify,1KiB,30,1,0.318700
ubuntu-linux,ecdsa-p256,sign,16KiB,1,1,0.375667
ubuntu-linux,ecdsa-p256,verify,16KiB,1,1,0.370227
ubuntu-linux,ecdsa-p256,sign,16KiB,2,1,0.366810
ubuntu-linux,ecdsa-p256,verify,16KiB,2,1,0.340401
ubuntu-linux,ecdsa-p256,sign,16KiB,3,1,0.364797
ubuntu-linux,ecdsa-p256,verify,16KiB,3,1,0.347654
ubuntu-linux,ecdsa-p256,sign,16KiB,4,1,0.347595
ubuntu-linux,ecdsa-p256,verify,16KiB,4,1,0.335753
ubuntu-linux,ecdsa-p256,sign,16KiB,5,1,0.355820
ubuntu-linux,ecdsa-p256,verify,16KiB,5,1,0.329240
ubuntu-linux,ecdsa-p256,sign,16KiB,6,1,0.349949
ubuntu-linux,ecdsa-p256,verify,16KiB,6,1,0.338558
ubuntu-linux,ecdsa-p256,sign,16KiB,7,1,0.347314
ubuntu-linux,ecdsa-p256,verify,16KiB,7,1,0.332516
ubuntu-linux,ecdsa-p256,sign,16KiB,8,1,0.352685
ubuntu-linux,ecdsa-p256,verify,16KiB,8,1,0.328839
ubuntu-linux,ecdsa-p256,sign,16KiB,9,1,0.345701
ubuntu-linux,ecdsa-p256,verify,16KiB,9,1,0.336043
ubuntu-linux,ecdsa-p256,sign,16KiB,10,1,0.346773
ubuntu-linux,ecdsa-p256,verify,16KiB,10,1,0.325273
ubuntu-linux,ecdsa-p256,sign,16KiB,11,1,0.359307
ubuntu-linux,ecdsa-p256,verify,16KiB,11,1,0.334550
ubuntu-linux,ecdsa-p256,sign,16KiB,12,1,0.357203
ubuntu-linux,ecdsa-p256,verify,16KiB,12,1,0.342555
ubuntu-linux,ecdsa-p256,sign,16KiB,13,1,0.360790
ubuntu-linux,ecdsa-p256,verify,16KiB,13,1,0.329070
ubuntu-linux,ecdsa-p256,sign,16KiB,14,1,0.357122
ubuntu-linux,ecdsa-p256,verify,16KiB,14,1,0.328319
ubuntu-linux,ecdsa-p256,sign,16KiB,15,1,0.354237
ubuntu-linux,ecdsa-p256,verify,16KiB,15,1,0.330783
ubuntu-linux,ecdsa-p256,sign,16KiB,16,1,0.351152
ubuntu-linux,ecdsa-p256,verify,16KiB,16,1,0.342816
ubuntu-linux,ecdsa-p256,sign,16KiB,17,1,0.356952
ubuntu-linux,ecdsa-p256,verify,16KiB,17,1,0.332487
ubuntu-linux,ecdsa-p256,sign,16KiB,18,1,0.357674
ubuntu-linux,ecdsa-p256,verify,16KiB,18,1,0.329782
ubuntu-linux,ecdsa-p256,sign,16KiB,19,1,0.345691
ubuntu-linux,ecdsa-p256,verify,16KiB,19,1,0.345942
ubuntu-linux,ecdsa-p256,sign,16KiB,20,1,0.345410
ubuntu-linux,ecdsa-p256,verify,16KiB,20,1,0.331013
ubuntu-linux,ecdsa-p256,sign,16KiB,21,1,0.357654
ubuntu-linux,ecdsa-p256,verify,16KiB,21,1,0.326885
ubuntu-linux,ecdsa-p256,sign,16KiB,22,1,0.368434
ubuntu-linux,ecdsa-p256,verify,16KiB,22,1,0.342114
ubuntu-linux,ecdsa-p256,sign,16KiB,23,1,0.348957
ubuntu-linux,ecdsa-p256,verify,16KiB,23,1,0.332977
ubuntu-linux,ecdsa-p256,sign,16KiB,24,1,0.358465
ubuntu-linux,ecdsa-p256,verify,16KiB,24,1,0.327437
ubuntu-linux,ecdsa-p256,sign,16KiB,25,1,0.342976
ubuntu-linux,ecdsa-p256,verify,16KiB,25,1,0.340612
ubuntu-linux,ecdsa-p256,sign,16KiB,26,1,0.343126
ubuntu-linux,ecdsa-p256,verify,16KiB,26,1,0.332927
ubuntu-linux,ecdsa-p256,sign,16KiB,27,1,0.360860
ubuntu-linux,ecdsa-p256,verify,16KiB,27,1,0.333498
ubuntu-linux,ecdsa-p256,sign,16KiB,28,1,0.346493
ubuntu-linux,ecdsa-p256,verify,16KiB,28,1,0.338658
ubuntu-linux,ecdsa-p256,sign,16KiB,29,1,0.344629
ubuntu-linux,ecdsa-p256,verify,16KiB,29,1,0.339319
ubuntu-linux,ecdsa-p256,sign,16KiB,30,1,0.348256
ubuntu-linux,ecdsa-p256,verify,16KiB,30,1,0.339750
ubuntu-linux,ecdsa-p256,sign,1MiB,1,1,0.846073
ubuntu-linux,ecdsa-p256,verify,1MiB,1,1,0.819954
ubuntu-linux,ecdsa-p256,sign,1MiB,2,1,0.852545
ubuntu-linux,ecdsa-p256,verify,1MiB,2,1,0.828851
ubuntu-linux,ecdsa-p256,sign,1MiB,3,1,0.834151
ubuntu-linux,ecdsa-p256,verify,1MiB,3,1,0.815315
ubuntu-linux,ecdsa-p256,sign,1MiB,4,1,0.835323
ubuntu-linux,ecdsa-p256,verify,1MiB,4,1,0.819884
ubuntu-linux,ecdsa-p256,sign,1MiB,5,1,0.846464
ubuntu-linux,ecdsa-p256,verify,1MiB,5,1,0.819543
ubuntu-linux,ecdsa-p256,sign,1MiB,6,1,0.828641
ubuntu-linux,ecdsa-p256,verify,1MiB,6,1,0.811868
ubuntu-linux,ecdsa-p256,sign,1MiB,7,1,0.826957
ubuntu-linux,ecdsa-p256,verify,1MiB,7,1,0.803133
ubuntu-linux,ecdsa-p256,sign,1MiB,8,1,0.827008
ubuntu-linux,ecdsa-p256,verify,1MiB,8,1,0.831796
ubuntu-linux,ecdsa-p256,sign,1MiB,9,1,0.829232
ubuntu-linux,ecdsa-p256,verify,1MiB,9,1,0.809905
ubuntu-linux,ecdsa-p256,sign,1MiB,10,1,0.837487
ubuntu-linux,ecdsa-p256,verify,1MiB,10,1,0.800918
ubuntu-linux,ecdsa-p256,sign,1MiB,11,1,0.829883
ubuntu-linux,ecdsa-p256,verify,1MiB,11,1,0.806128
ubuntu-linux,ecdsa-p256,sign,1MiB,12,1,0.826607
ubuntu-linux,ecdsa-p256,verify,1MiB,12,1,0.813101
ubuntu-linux,ecdsa-p256,sign,1MiB,13,1,0.832327
ubuntu-linux,ecdsa-p256,verify,1MiB,13,1,0.820896
ubuntu-linux,ecdsa-p256,sign,1MiB,14,1,0.834522
ubuntu-linux,ecdsa-p256,verify,1MiB,14,1,0.809264
ubuntu-linux,ecdsa-p256,sign,1MiB,15,1,0.824232
ubuntu-linux,ecdsa-p256,verify,1MiB,15,1,0.809354
ubuntu-linux,ecdsa-p256,sign,1MiB,16,1,0.827819
ubuntu-linux,ecdsa-p256,verify,1MiB,16,1,0.807732
ubuntu-linux,ecdsa-p256,sign,1MiB,17,1,0.841224
ubuntu-linux,ecdsa-p256,verify,1MiB,17,1,0.815095
ubuntu-linux,ecdsa-p256,sign,1MiB,18,1,0.830664
ubuntu-linux,ecdsa-p256,verify,1MiB,18,1,0.810756
ubuntu-linux,ecdsa-p256,sign,1MiB,19,1,0.819964
ubuntu-linux,ecdsa-p256,verify,1MiB,19,1,0.807891
ubuntu-linux,ecdsa-p256,sign,1MiB,20,1,0.825965
ubuntu-linux,ecdsa-p256,verify,1MiB,20,1,0.808633
ubuntu-linux,ecdsa-p256,sign,1MiB,21,1,0.831706
ubuntu-linux,ecdsa-p256,verify,1MiB,21,1,0.806980
ubuntu-linux,ecdsa-p256,sign,1MiB,22,1,0.832127
ubuntu-linux,ecdsa-p256,verify,1MiB,22,1,0.815545
ubuntu-linux,ecdsa-p256,sign,1MiB,23,1,0.827168
ubuntu-linux,ecdsa-p256,verify,1MiB,23,1,0.806999
ubuntu-linux,ecdsa-p256,sign,1MiB,24,1,0.825595
ubuntu-linux,ecdsa-p256,verify,1MiB,24,1,0.798694
ubuntu-linux,ecdsa-p256,sign,1MiB,25,1,0.830784
ubuntu-linux,ecdsa-p256,verify,1MiB,25,1,0.807711
ubuntu-linux,ecdsa-p256,sign,1MiB,26,1,0.830694
ubuntu-linux,ecdsa-p256,verify,1MiB,26,1,0.816237
ubuntu-linux,ecdsa-p256,sign,1MiB,27,1,0.822870
ubuntu-linux,ecdsa-p256,verify,1MiB,27,1,0.810557
ubuntu-linux,ecdsa-p256,sign,1MiB,28,1,0.825314
