platform,algorithm,operation,message_size,runs,ops,mean_ms,median_ms,stddev_ms,ci95_ms,ops_per_sec
ubuntu-linux,ecdsa-p256,keygen,na,30,1,0.082420,0.033939,0.208383,0.074569,12133.041224
ubuntu-linux,ecdsa-p256,sign,1KiB,30,1,0.360644,0.349948,0.026474,0.009474,2772.819566
ubuntu-linux,ecdsa-p256,verify,1KiB,30,1,0.337799,0.333838,0.018986,0.006794,2960.339152
ubuntu-linux,ecdsa-p256,sign,16KiB,30,1,0.353950,0.353461,0.008256,0.002955,2825.258071
ubuntu-linux,ecdsa-p256,verify,16KiB,30,1,0.336200,0.334024,0.008767,0.003137,2974.420578
ubuntu-linux,ecdsa-p256,sign,1MiB,30,1,0.831555,0.830273,0.007358,0.002633,1202.566325
ubuntu-linux,ecdsa-p256,verify,1MiB,30,1,0.812022,0.810231,0.007511,0.002688,1231.493071
ubuntu-linux,ecdsa-p256,sign,8MiB,30,1,4.309825,4.252809,0.160287,0.057358,232.027993
ubuntu-linux,ecdsa-p256,verify,8MiB,30,1,4.307814,4.226619,0.193523,0.069251,232.136314
ubuntu-linux,rsa-pss-3072,keygen,na,30,1,451.876450,385.889376,281.677492,100.796996,2.212994
ubuntu-linux,rsa-pss-3072,sign,1KiB,30,1,2.294758,2.301503,0.026001,0.009304,435.775767
ubuntu-linux,rsa-pss-3072,verify,1KiB,30,1,0.330337,0.333718,0.025978,0.009296,3027.215271
ubuntu-linux,rsa-pss-3072,sign,16KiB,30,1,2.298232,2.283269,0.032046,0.011467,435.117151
ubuntu-linux,rsa-pss-3072,verify,16KiB,30,1,0.326392,0.312654,0.027439,0.009819,3063.798080
ubuntu-linux,rsa-pss-3072,sign,1MiB,30,1,2.735639,2.737248,0.017784,0.006364,365.545245
ubuntu-linux,rsa-pss-3072,verify,1MiB,30,1,0.785059,0.780960,0.016334,0.005845,1273.789018
ubuntu-linux,rsa-pss-3072,sign,8MiB,30,1,6.191552,6.155599,0.101587,0.036353,161.510403
ubuntu-linux,rsa-pss-3072,verify,8MiB,30,1,4.235629,4.209595,0.070312,0.025161,236.092432
