platform,algorithm,operation,message_size,run,ops,latency_ms
windows-mingw64,ecdsa-p256,keygen,na,1,1,6.309600
windows-mingw64,ecdsa-p256,keygen,na,2,1,0.113300
windows-mingw64,ecdsa-p256,keygen,na,3,1,0.063300
windows-mingw64,ecdsa-p256,keygen,na,4,1,0.057000
windows-mingw64,ecdsa-p256,keygen,na,5,1,0.056400
windows-mingw64,ecdsa-p256,keygen,na,6,1,0.055600
windows-mingw64,ecdsa-p256,keygen,na,7,1,0.054500
windows-mingw64,ecdsa-p256,keygen,na,8,1,0.055400
windows-mingw64,ecdsa-p256,keygen,na,9,1,0.055000
windows-mingw64,ecdsa-p256,keygen,na,10,1,0.057000
windows-mingw64,ecdsa-p256,keygen,na,11,1,0.055400
windows-mingw64,ecdsa-p256,keygen,na,12,1,0.086500
windows-mingw64,ecdsa-p256,keygen,na,13,1,0.070000
windows-mingw64,ecdsa-p256,keygen,na,14,1,0.055500
windows-mingw64,ecdsa-p256,keygen,na,15,1,0.053500
windows-mingw64,ecdsa-p256,keygen,na,16,1,0.053100
windows-mingw64,ecdsa-p256,keygen,na,17,1,0.052900
windows-mingw64,ecdsa-p256,keygen,na,18,1,0.054300
windows-mingw64,ecdsa-p256,keygen,na,19,1,0.053200
windows-mingw64,ecdsa-p256,keygen,na,20,1,0.052700
windows-mingw64,ecdsa-p256,keygen,na,21,1,0.074300
windows-mingw64,ecdsa-p256,keygen,na,22,1,0.056300
windows-mingw64,ecdsa-p256,keygen,na,23,1,0.055000
windows-mingw64,ecdsa-p256,keygen,na,24,1,0.055500
windows-mingw64,ecdsa-p256,keygen,na,25,1,0.055500
windows-mingw64,ecdsa-p256,keygen,na,26,1,0.051800
windows-mingw64,ecdsa-p256,keygen,na,27,1,0.054400
windows-mingw64,ecdsa-p256,keygen,na,28,1,0.052700
windows-mingw64,ecdsa-p256,keygen,na,29,1,0.052900
windows-mingw64,ecdsa-p256,keygen,na,30,1,0.053400
windows-mingw64,ecdsa-p256,sign,1KiB,1,1,0.176000
windows-mingw64,ecdsa-p256,verify,1KiB,1,1,0.467400
windows-mingw64,ecdsa-p256,sign,1KiB,2,1,0.156500
windows-mingw64,ecdsa-p256,verify,1KiB,2,1,0.179500
windows-mingw64,ecdsa-p256,sign,1KiB,3,1,0.341700
windows-mingw64,ecdsa-p256,verify,1KiB,3,1,0.212900
windows-mingw64,ecdsa-p256,sign,1KiB,4,1,0.202300
windows-mingw64,ecdsa-p256,verify,1KiB,4,1,0.178600
windows-mingw64,ecdsa-p256,sign,1KiB,5,1,0.149600
windows-mingw64,ecdsa-p256,verify,1KiB,5,1,0.170900
windows-mingw64,ecdsa-p256,sign,1KiB,6,1,0.154500
windows-mingw64,ecdsa-p256,verify,1KiB,6,1,0.170200
windows-mingw64,ecdsa-p256,sign,1KiB,7,1,0.137200
windows-mingw64,ecdsa-p256,verify,1KiB,7,1,0.168800
windows-mingw64,ecdsa-p256,sign,1KiB,8,1,0.135500
windows-mingw64,ecdsa-p256,verify,1KiB,8,1,0.252200
windows-mingw64,ecdsa-p256,sign,1KiB,9,1,0.224100
windows-mingw64,ecdsa-p256,verify,1KiB,9,1,0.222200
windows-mingw64,ecdsa-p256,sign,1KiB,10,1,0.182900
windows-mingw64,ecdsa-p256,verify,1KiB,10,1,0.201500
windows-mingw64,ecdsa-p256,sign,1KiB,11,1,0.157900
windows-mingw64,ecdsa-p256,verify,1KiB,11,1,0.171200
windows-mingw64,ecdsa-p256,sign,1KiB,12,1,0.137600
windows-mingw64,ecdsa-p256,verify,1KiB,12,1,0.168200
windows-mingw64,ecdsa-p256,sign,1KiB,13,1,0.135700
windows-mingw64,ecdsa-p256,verify,1KiB,13,1,0.167000
windows-mingw64,ecdsa-p256,sign,1KiB,14,1,0.147900
windows-mingw64,ecdsa-p256,verify,1KiB,14,1,0.170500
windows-mingw64,ecdsa-p256,sign,1KiB,15,1,0.136600
windows-mingw64,ecdsa-p256,verify,1KiB,15,1,0.168700
windows-mingw64,ecdsa-p256,sign,1KiB,16,1,0.135800
windows-mingw64,ecdsa-p256,verify,1KiB,16,1,0.170900
windows-mingw64,ecdsa-p256,sign,1KiB,17,1,0.138000
windows-mingw64,ecdsa-p256,verify,1KiB,17,1,0.179700
windows-mingw64,ecdsa-p256,sign,1KiB,18,1,0.136400
windows-mingw64,ecdsa-p256,verify,1KiB,18,1,0.167500
windows-mingw64,ecdsa-p256,sign,1KiB,19,1,0.135100
windows-mingw64,ecdsa-p256,verify,1KiB,19,1,0.166400
windows-mingw64,ecdsa-p256,sign,1KiB,20,1,0.134600
windows-mingw64,ecdsa-p256,verify,1KiB,20,1,0.189600
windows-mingw64,ecdsa-p256,sign,1KiB,21,1,0.138700
windows-mingw64,ecdsa-p256,verify,1KiB,21,1,0.167100
windows-mingw64,ecdsa-p256,sign,1KiB,22,1,0.135300
windows-mingw64,ecdsa-p256,verify,1KiB,22,1,0.168000
windows-mingw64,ecdsa-p256,sign,1KiB,23,1,0.173200
windows-mingw64,ecdsa-p256,verify,1KiB,23,1,0.355200
windows-mingw64,ecdsa-p256,sign,1KiB,24,1,0.345800
windows-mingw64,ecdsa-p256,verify,1KiB,24,1,0.281700
windows-mingw64,ecdsa-p256,sign,1KiB,25,1,0.219800
windows-mingw64,ecdsa-p256,verify,1KiB,25,1,0.181800
windows-mingw64,ecdsa-p256,sign,1KiB,26,1,0.148600
windows-mingw64,ecdsa-p256,verify,1KiB,26,1,0.171000
windows-mingw64,ecdsa-p256,sign,1KiB,27,1,0.156700
windows-mingw64,ecdsa-p256,verify,1KiB,27,1,0.172500
windows-mingw64,ecdsa-p256,sign,1KiB,28,1,0.139900
windows-mingw64,ecdsa-p256,verify,1KiB,28,1,0.167600
windows-mingw64,ecdsa-p256,sign,1KiB,29,1,0.137100
windows-mingw64,ecdsa-p256,verify,1KiB,29,1,0.168600
windows-mingw64,ecdsa-p256,sign,1KiB,30,1,0.137100
windows-mingw64,ecdsa-p256,verify,1KiB,30,1,0.172100
windows-mingw64,ecdsa-p256,sign,16KiB,1,1,0.156000
windows-mingw64,ecdsa-p256,verify,16KiB,1,1,0.183400
windows-mingw64,ecdsa-p256,sign,16KiB,2,1,0.150800
windows-mingw64,ecdsa-p256,verify,16KiB,2,1,0.191300
windows-mingw64,ecdsa-p256,sign,16KiB,3,1,0.154300
windows-mingw64,ecdsa-p256,verify,16KiB,3,1,0.181900
windows-mingw64,ecdsa-p256,sign,16KiB,4,1,0.149800
windows-mingw64,ecdsa-p256,verify,16KiB,4,1,0.180200
windows-mingw64,ecdsa-p256,sign,16KiB,5,1,0.149400
windows-mingw64,ecdsa-p256,verify,16KiB,5,1,0.180500
windows-mingw64,ecdsa-p256,sign,16KiB,6,1,0.148400
windows-mingw64,ecdsa-p256,verify,16KiB,6,1,0.180600
windows-mingw64,ecdsa-p256,sign,16KiB,7,1,0.148300
windows-mingw64,ecdsa-p256,verify,16KiB,7,1,0.180200
windows-mingw64,ecdsa-p256,sign,16KiB,8,1,0.148300
windows-mingw64,ecdsa-p256,verify,16KiB,8,1,0.188900
windows-mingw64,ecdsa-p256,sign,16KiB,9,1,0.156000
windows-mingw64,ecdsa-p256,verify,16KiB,9,1,0.181500
windows-mingw64,ecdsa-p256,sign,16KiB,10,1,0.149800
windows-mingw64,ecdsa-p256,verify,16KiB,10,1,0.180800
windows-mingw64,ecdsa-p256,sign,16KiB,11,1,0.150300
windows-mingw64,ecdsa-p256,verify,16KiB,11,1,0.180400
windows-mingw64,ecdsa-p256,sign,16KiB,12,1,0.148500
windows-mingw64,ecdsa-p256,verify,16KiB,12,1,0.179600
windows-mingw64,ecdsa-p256,sign,16KiB,13,1,0.159500
windows-mingw64,ecdsa-p256,verify,16KiB,13,1,0.180200
windows-mingw64,ecdsa-p256,sign,16KiB,14,1,0.148500
windows-mingw64,ecdsa-p256,verify,16KiB,14,1,0.189800
windows-mingw64,ecdsa-p256,sign,16KiB,15,1,0.151400
windows-mingw64,ecdsa-p256,verify,16KiB,15,1,0.180400
windows-mingw64,ecdsa-p256,sign,16KiB,16,1,0.149100
windows-mingw64,ecdsa-p256,verify,16KiB,16,1,0.179700
windows-mingw64,ecdsa-p256,sign,16KiB,17,1,0.149100
windows-mingw64,ecdsa-p256,verify,16KiB,17,1,0.180000
windows-mingw64,ecdsa-p256,sign,16KiB,18,1,0.148300
windows-mingw64,ecdsa-p256,verify,16KiB,18,1,0.179700
windows-mingw64,ecdsa-p256,sign,16KiB,19,1,0.148000
windows-mingw64,ecdsa-p256,verify,16KiB,19,1,0.178700
windows-mingw64,ecdsa-p256,sign,16KiB,20,1,0.147800
windows-mingw64,ecdsa-p256,verify,16KiB,20,1,0.192300
windows-mingw64,ecdsa-p256,sign,16KiB,21,1,0.150300
windows-mingw64,ecdsa-p256,verify,16KiB,21,1,0.180600
windows-mingw64,ecdsa-p256,sign,16KiB,22,1,0.148900
windows-mingw64,ecdsa-p256,verify,16KiB,22,1,0.179500
windows-mingw64,ecdsa-p256,sign,16KiB,23,1,0.147800
windows-mingw64,ecdsa-p256,verify,16KiB,23,1,0.179100
windows-mingw64,ecdsa-p256,sign,16KiB,24,1,0.147900
windows-mingw64,ecdsa-p256,verify,16KiB,24,1,0.179700
windows-mingw64,ecdsa-p256,sign,16KiB,25,1,0.148000
windows-mingw64,ecdsa-p256,verify,16KiB,25,1,0.179700
windows-mingw64,ecdsa-p256,sign,16KiB,26,1,0.148100
windows-mingw64,ecdsa-p256,verify,16KiB,26,1,0.195900
windows-mingw64,ecdsa-p256,sign,16KiB,27,1,0.149600
windows-mingw64,ecdsa-p256,verify,16KiB,27,1,0.180800
windows-mingw64,ecdsa-p256,sign,16KiB,28,1,0.148000
windows-mingw64,ecdsa-p256,verify,16KiB,28,1,0.179900
windows-mingw64,ecdsa-p256,sign,16KiB,29,1,0.148300
windows-mingw64,ecdsa-p256,verify,16KiB,29,1,0.179200
windows-mingw64,ecdsa-p256,sign,16KiB,30,1,0.147800
windows-mingw64,ecdsa-p256,verify,16KiB,30,1,0.179400
windows-mingw64,ecdsa-p256,sign,1MiB,1,1,1.021200
windows-mingw64,ecdsa-p256,verify,1MiB,1,1,1.067400
windows-mingw64,ecdsa-p256,sign,1MiB,2,1,1.047200
windows-mingw64,ecdsa-p256,verify,1MiB,2,1,1.040700
windows-mingw64,ecdsa-p256,sign,1MiB,3,1,1.017000
windows-mingw64,ecdsa-p256,verify,1MiB,3,1,1.042900
windows-mingw64,ecdsa-p256,sign,1MiB,4,1,1.010900
windows-mingw64,ecdsa-p256,verify,1MiB,4,1,1.033300
windows-mingw64,ecdsa-p256,sign,1MiB,5,1,1.009100
windows-mingw64,ecdsa-p256,verify,1MiB,5,1,1.031600
windows-mingw64,ecdsa-p256,sign,1MiB,6,1,1.008400
windows-mingw64,ecdsa-p256,verify,1MiB,6,1,1.031100
windows-mingw64,ecdsa-p256,sign,1MiB,7,1,1.007800
windows-mingw64,ecdsa-p256,verify,1MiB,7,1,1.031400
windows-mingw64,ecdsa-p256,sign,1MiB,8,1,1.007400
windows-mingw64,ecdsa-p256,verify,1MiB,8,1,1.040500
windows-mingw64,ecdsa-p256,sign,1MiB,9,1,1.000500
windows-mingw64,ecdsa-p256,verify,1MiB,9,1,1.038700
windows-mingw64,ecdsa-p256,sign,1MiB,10,1,1.043000
windows-mingw64,ecdsa-p256,verify,1MiB,10,1,1.058100
windows-mingw64,ecdsa-p256,sign,1MiB,11,1,1.021200
windows-mingw64,ecdsa-p256,verify,1MiB,11,1,1.039900
windows-mingw64,ecdsa-p256,sign,1MiB,12,1,1.000700
windows-mingw64,ecdsa-p256,verify,1MiB,12,1,1.081800
windows-mingw64,ecdsa-p256,sign,1MiB,13,1,1.125900
windows-mingw64,ecdsa-p256,verify,1MiB,13,1,1.107700
windows-mingw64,ecdsa-p256,sign,1MiB,14,1,1.021200
windows-mingw64,ecdsa-p256,verify,1MiB,14,1,1.045200
windows-mingw64,ecdsa-p256,sign,1MiB,15,1,1.005800
windows-mingw64,ecdsa-p256,verify,1MiB,15,1,1.054000
windows-mingw64,ecdsa-p256,sign,1MiB,16,1,1.003700
windows-mingw64,ecdsa-p256,verify,1MiB,16,1,1.039300
windows-mingw64,ecdsa-p256,sign,1MiB,17,1,1.004100
windows-mingw64,ecdsa-p256,verify,1MiB,17,1,1.051500
windows-mingw64,ecdsa-p256,sign,1MiB,18,1,0.998700
windows-mingw64,ecdsa-p256,verify,1MiB,18,1,1.039200
windows-mingw64,ecdsa-p256,sign,1MiB,19,1,1.002200
windows-mingw64,ecdsa-p256,verify,1MiB,19,1,1.038500
windows-mingw64,ecdsa-p256,sign,1MiB,20,1,1.016700
windows-mingw64,ecdsa-p256,verify,1MiB,20,1,1.050000
windows-mingw64,ecdsa-p256,sign,1MiB,21,1,1.042200
windows-mingw64,ecdsa-p256,verify,1MiB,21,1,1.038800
windows-mingw64,ecdsa-p256,sign,1MiB,22,1,1.014400
windows-mingw64,ecdsa-p256,verify,1MiB,22,1,1.031200
windows-mingw64,ecdsa-p256,sign,1MiB,23,1,1.008900
windows-mingw64,ecdsa-p256,verify,1MiB,23,1,1.030400
windows-mingw64,ecdsa-p256,sign,1MiB,24,1,1.008900
windows-mingw64,ecdsa-p256,verify,1MiB,24,1,1.064100
windows-mingw64,ecdsa-p256,sign,1MiB,25,1,1.044500
windows-mingw64,ecdsa-p256,verify,1MiB,25,1,1.032900
windows-mingw64,ecdsa-p256,sign,1MiB,26,1,1.008700
windows-mingw64,ecdsa-p256,verify,1MiB,26,1,1.032300
windows-mingw64,ecdsa-p256,sign,1MiB,27,1,1.007100
windows-mingw64,ecdsa-p256,verify,1MiB,27,1,1.032100
windows-mingw64,ecdsa-p256,sign,1MiB,28,1,1.087300
windows-mingw64,ecdsa-p256,verify,1MiB,28,1,1.094600
windows-mingw64,ecdsa-p256,sign,1MiB,29,1,1.039600
windows-mingw64,ecdsa-p256,verify,1MiB,29,1,1.074700
windows-mingw64,ecdsa-p256,sign,1MiB,30,1,1.033200
windows-mingw64,ecdsa-p256,verify,1MiB,30,1,1.043500
windows-mingw64,ecdsa-p256,sign,8MiB,1,1,7.160100
windows-mingw64,ecdsa-p256,verify,8MiB,1,1,7.212100
windows-mingw64,ecdsa-p256,sign,8MiB,2,1,7.107100
windows-mingw64,ecdsa-p256,verify,8MiB,2,1,7.163400
windows-mingw64,ecdsa-p256,sign,8MiB,3,1,7.139800
windows-mingw64,ecdsa-p256,verify,8MiB,3,1,7.198500
windows-mingw64,ecdsa-p256,sign,8MiB,4,1,7.151500
windows-mingw64,ecdsa-p256,verify,8MiB,4,1,7.106000
windows-mingw64,ecdsa-p256,sign,8MiB,5,1,7.413800
windows-mingw64,ecdsa-p256,verify,8MiB,5,1,7.301500
windows-mingw64,ecdsa-p256,sign,8MiB,6,1,7.567800
windows-mingw64,ecdsa-p256,verify,8MiB,6,1,7.165700
windows-mingw64,ecdsa-p256,sign,8MiB,7,1,7.219400
windows-mingw64,ecdsa-p256,verify,8MiB,7,1,7.127100
windows-mingw64,ecdsa-p256,sign,8MiB,8,1,7.151100
windows-mingw64,ecdsa-p256,verify,8MiB,8,1,7.114700
windows-mingw64,ecdsa-p256,sign,8MiB,9,1,7.140400
windows-mingw64,ecdsa-p256,verify,8MiB,9,1,7.118600
windows-mingw64,ecdsa-p256,sign,8MiB,10,1,7.128200
