platform,algorithm,operation,message_size,runs,ops,mean_ms,median_ms,stddev_ms,ci95_ms,ops_per_sec
windows-mingw64,ecdsa-p256,keygen,na,30,1,0.267533,0.055400,1.141234,0.408385,3737.851981
windows-mingw64,ecdsa-p256,sign,1KiB,30,1,0.166270,0.143900,0.054265,0.019419,6014.314067
windows-mingw64,ecdsa-p256,verify,1KiB,30,1,0.198317,0.171100,0.065478,0.023431,5042.440541
windows-mingw64,ecdsa-p256,sign,16KiB,30,1,0.149877,0.148700,0.002875,0.001029,6672.152659
windows-mingw64,ecdsa-p256,verify,16KiB,30,1,0.182130,0.180300,0.004531,0.001621,5490.583649
windows-mingw64,ecdsa-p256,sign,1MiB,30,1,1.022250,1.010000,0.027540,0.009855,978.234287
windows-mingw64,ecdsa-p256,verify,1MiB,30,1,1.047913,1.040200,0.019818,0.007092,954.277389
windows-mingw64,ecdsa-p256,sign,8MiB,30,1,7.213867,7.156450,0.141772,0.050732,138.621913
windows-mingw64,ecdsa-p256,verify,8MiB,30,1,7.307467,7.185300,0.288959,0.103403,136.846331
windows-mingw64,rsa-pss-3072,keygen,na,30,1,185.975507,147.367950,129.224495,46.242392,5.377052
windows-mingw64,rsa-pss-3072,sign,1KiB,30,1,3.602160,3.553050,0.099218,0.035505,277.611211
windows-mingw64,rsa-pss-3072,verify,1KiB,30,1,0.142900,0.133900,0.019368,0.006931,6997.900630
windows-mingw64,rsa-pss-3072,sign,16KiB,30,1,3.782337,3.591200,0.419468,0.150105,264.386830
windows-mingw64,rsa-pss-3072,verify,16KiB,30,1,0.175743,0.153850,0.058591,0.020966,5690.116268
windows-mingw64,rsa-pss-3072,sign,1MiB,30,1,4.618560,4.634200,0.199098,0.071246,216.517702
windows-mingw64,rsa-pss-3072,verify,1MiB,30,1,1.026753,1.023200,0.024731,0.008850,973.943758
windows-mingw64,rsa-pss-3072,sign,8MiB,30,1,10.721797,10.764750,0.193473,0.069234,93.267950
windows-mingw64,rsa-pss-3072,verify,8MiB,30,1,7.130553,7.127400,0.051294,0.018355,140.241571
